Rating,Call Drop Category
5,2
5,2
5,2
5,2
4,2
4,2
4,2
4,2
4,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
4,2
4,2
4,2
5,2
4,2
4,2
4,2
4,2
5,2
5,2
1,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
5,2
4,2
4,2
5,2
4,2
4,2
5,2
1,1
5,2
4,2
5,2
4,2
4,2
1,2
5,2
4,2
4,2
4,2
4,2
3,2
4,2
4,2
4,2
4,2
4,2
5,2
5,2
4,2
4,2
4,2
4,2
5,2
1,2
4,2
4,2
5,2
1,2
4,2
5,2
4,2
4,2
4,2
5,2
5,2
5,2
5,2
5,2
4,2
4,2
4,2
4,2
3,2
4,2
4,2
1,2
1,2
3,2
1,1
1,1
5,2
4,2
5,2
5,2
5,2
4,2
4,2
4,2
5,2
5,2
4,2
4,2
4,2
4,2
4,2
4,2
1,2
1,2
5,2
4,2
4,2
4,2
4,2
5,2
4,2
4,2
5,2
1,2
1,2
4,2
4,2
4,2
4,2
