Rating Accuracy,Category Accuracy,No. of correct predictions(rating),No. of correct predictions(Category),Total entries,k_value,Month
41.40625,82.03125,53,105,128,101,January
41.40625,80.46875,53,103,128,103,January
40.625,80.46875,52,103,128,107,January
40.625,80.46875,52,103,128,109,January
39.0625,80.46875,50,103,128,113,January
37.5,80.46875,48,103,128,127,January
35.9375,78.90625,46,101,128,131,January
35.9375,78.90625,46,101,128,137,January
35.9375,78.90625,46,101,128,139,January
36.71875,78.90625,47,101,128,149,January
35.15625,78.90625,45,101,128,151,January
35.15625,78.90625,45,101,128,157,January
35.15625,77.34375,45,99,128,163,January
35.15625,77.34375,45,99,128,167,January
35.9375,77.34375,46,99,128,173,January
36.71875,77.34375,47,99,128,179,January
37.5,74.21875,48,95,128,181,January
36.71875,76.5625,47,98,128,191,January
36.71875,76.5625,47,98,128,193,January
35.9375,76.5625,46,98,128,197,January
34.375,76.5625,44,98,128,199,January
31.25,75,40,96,128,211,January
31.25,75,40,96,128,223,January
30.46875,73.4375,39,94,128,227,January
30.46875,73.4375,39,94,128,229,January
30.46875,73.4375,39,94,128,233,January
31.25,73.4375,40,94,128,239,January
31.25,74.21875,40,95,128,241,January
30.46875,74.21875,39,95,128,251,January
30.46875,74.21875,39,95,128,257,January
31.25,75.78125,40,97,128,263,January
31.25,75.78125,40,97,128,269,January
32.03125,75.78125,41,97,128,271,January
32.8125,75.78125,42,97,128,277,January
32.03125,75.78125,41,97,128,281,January
32.03125,75.78125,41,97,128,283,January
34.375,76.5625,44,98,128,293,January
33.59375,76.5625,43,98,128,307,January
33.59375,76.5625,43,98,128,311,January
33.59375,75.78125,43,97,128,313,January
33.59375,76.5625,43,98,128,317,January
33.59375,78.125,43,100,128,331,January
34.375,78.125,44,100,128,337,January
36.71875,78.125,47,100,128,347,January
35.9375,78.125,46,100,128,349,January
35.9375,78.125,46,100,128,353,January
38.28125,78.125,49,100,128,359,January
39.0625,78.125,50,100,128,367,January
38.28125,76.5625,49,98,128,373,January
38.28125,76.5625,49,98,128,379,January
38.28125,76.5625,49,98,128,383,January
37.5,76.5625,48,98,128,389,January
37.5,76.5625,48,98,128,397,January
37.5,76.5625,48,98,128,401,January
36.71875,76.5625,47,98,128,409,January
36.71875,76.5625,47,98,128,419,January
36.71875,76.5625,47,98,128,421,January
36.71875,76.5625,47,98,128,431,January
36.71875,76.5625,47,98,128,433,January
36.71875,76.5625,47,98,128,439,January
36.71875,76.5625,47,98,128,443,January
37.5,76.5625,48,98,128,449,January
37.5,76.5625,48,98,128,457,January
37.5,76.5625,48,98,128,461,January
37.5,76.5625,48,98,128,463,January
