No. of trees,Accuracy
1,0.808681672
2,0.800643087
3,0.853697749
4,0.852090032
5,0.877813505
6,0.874598071
7,0.871382637
8,0.874598071
9,0.881028939
10,0.877813505
11,0.882636656
12,0.887459807
13,0.892282958
14,0.898713826
15,0.903536977
16,0.90192926
17,0.898713826
18,0.892282958
19,0.893890675
20,0.893890675
21,0.897106109
22,0.893890675
23,0.898713826
24,0.897106109
25,0.900321543
26,0.900321543
27,0.900321543
28,0.897106109
29,0.897106109
30,0.897106109
31,0.898713826
32,0.898713826
33,0.900321543
34,0.893890675
35,0.90192926
36,0.897106109
37,0.900321543
38,0.900321543
39,0.898713826
40,0.895498392
41,0.898713826
42,0.897106109
43,0.898713826
44,0.900321543
45,0.90192926
46,0.897106109
47,0.898713826
48,0.898713826
49,0.897106109
50,0.895498392
51,0.895498392
52,0.900321543
53,0.903536977
54,0.90192926
55,0.90192926
56,0.898713826
57,0.90192926
58,0.898713826
59,0.898713826
60,0.898713826
61,0.898713826
62,0.897106109
63,0.898713826
64,0.898713826
65,0.898713826
66,0.898713826
67,0.898713826
68,0.898713826
69,0.900321543
70,0.898713826
71,0.898713826
72,0.900321543
73,0.900321543
74,0.898713826
75,0.90192926
76,0.90192926
77,0.900321543
78,0.900321543
79,0.90192926
80,0.900321543
81,0.898713826
82,0.897106109
83,0.898713826
84,0.898713826
85,0.900321543
86,0.900321543
87,0.900321543
88,0.90192926
89,0.900321543
90,0.90192926
91,0.900321543
92,0.898713826
93,0.90192926
94,0.90192926
95,0.90192926
96,0.90192926
97,0.903536977
98,0.900321543
99,0.898713826
100,0.898713826
