No. of trees,Accuracy
1,0.858158044
2,0.857305287
3,0.886014781
4,0.892552587
5,0.900227402
6,0.89880614
7,0.904775441
8,0.907333712
9,0.910744741
10,0.911881751
11,0.913871518
12,0.911881751
13,0.911028994
14,0.912166003
15,0.914440023
16,0.91415577
17,0.913871518
18,0.912166003
19,0.913871518
20,0.913303013
21,0.91415577
22,0.915861285
23,0.913303013
24,0.912734508
25,0.913871518
26,0.915008528
27,0.91415577
28,0.915577032
29,0.915008528
30,0.91529278
31,0.915577032
32,0.915577032
33,0.915008528
34,0.913871518
35,0.91415577
36,0.914724275
37,0.913587265
38,0.913303013
39,0.912166003
40,0.913303013
41,0.912734508
42,0.913587265
43,0.915008528
44,0.913303013
45,0.91415577
46,0.913303013
47,0.91415577
48,0.914440023
49,0.91415577
50,0.914724275
51,0.915861285
52,0.914724275
53,0.91529278
54,0.915008528
55,0.91529278
56,0.91642979
57,0.916998294
58,0.915861285
59,0.91642979
60,0.916714042
61,0.916145537
62,0.915577032
63,0.91642979
64,0.91529278
65,0.91642979
66,0.915008528
67,0.91529278
68,0.91415577
69,0.915008528
70,0.914724275
71,0.913871518
72,0.91415577
73,0.91415577
74,0.91415577
75,0.915008528
76,0.914724275
77,0.914724275
78,0.915008528
79,0.914724275
80,0.914724275
81,0.915861285
82,0.914440023
83,0.91529278
84,0.914724275
85,0.91529278
86,0.915577032
87,0.915577032
88,0.915577032
89,0.914724275
90,0.915008528
91,0.915008528
92,0.915861285
93,0.915577032
94,0.91529278
95,0.915008528
96,0.916145537
97,0.915577032
98,0.916145537
99,0.916145537
100,0.916714042
