No. of trees,Accuracy
1,0.844339623
2,0.844339623
3,0.863207547
4,0.872641509
5,0.872641509
6,0.896226415
7,0.91509434
8,0.91509434
9,0.91509434
10,0.905660377
11,0.91509434
12,0.910377358
13,0.919811321
14,0.919811321
15,0.91509434
16,0.929245283
17,0.919811321
18,0.924528302
19,0.933962264
20,0.929245283
21,0.929245283
22,0.933962264
23,0.929245283
24,0.933962264
25,0.938679245
26,0.938679245
27,0.938679245
28,0.938679245
29,0.938679245
30,0.938679245
31,0.938679245
32,0.938679245
33,0.938679245
34,0.938679245
35,0.933962264
36,0.933962264
37,0.933962264
38,0.933962264
39,0.933962264
40,0.938679245
41,0.929245283
42,0.933962264
43,0.933962264
44,0.933962264
45,0.933962264
46,0.938679245
47,0.938679245
48,0.938679245
49,0.938679245
50,0.938679245
51,0.938679245
52,0.943396226
53,0.943396226
54,0.943396226
55,0.943396226
56,0.943396226
57,0.938679245
58,0.938679245
59,0.943396226
60,0.943396226
61,0.943396226
62,0.943396226
63,0.943396226
64,0.948113208
65,0.948113208
66,0.948113208
67,0.948113208
68,0.943396226
69,0.943396226
70,0.943396226
71,0.943396226
72,0.943396226
73,0.943396226
74,0.948113208
75,0.948113208
76,0.948113208
77,0.948113208
78,0.948113208
79,0.948113208
80,0.948113208
81,0.948113208
82,0.948113208
83,0.948113208
84,0.948113208
85,0.948113208
86,0.948113208
87,0.948113208
88,0.948113208
89,0.948113208
90,0.948113208
91,0.948113208
92,0.948113208
93,0.948113208
94,0.948113208
95,0.948113208
96,0.948113208
97,0.948113208
98,0.948113208
99,0.948113208
100,0.948113208
