No. of trees,Accuracy
1,0.859041623
2,0.855194124
3,0.885624344
4,0.88247639
5,0.890870934
6,0.888422525
7,0.895767751
8,0.891920252
9,0.892619797
10,0.892619797
11,0.897866387
12,0.895068206
13,0.901364113
14,0.902413431
15,0.90626093
16,0.896817069
17,0.900664568
18,0.901014341
19,0.903812522
20,0.902063659
21,0.902763204
22,0.902063659
23,0.903812522
24,0.903812522
25,0.902413431
26,0.90486184
27,0.905211612
28,0.904512067
29,0.903812522
30,0.906610703
31,0.905211612
32,0.90486184
33,0.906610703
34,0.905211612
35,0.90626093
36,0.908359566
37,0.909408884
38,0.908359566
39,0.906960476
40,0.906960476
41,0.906960476
42,0.906960476
43,0.909758657
44,0.909758657
45,0.908009794
46,0.908009794
47,0.907660021
48,0.907660021
49,0.909059112
50,0.908709339
51,0.91010843
52,0.908709339
53,0.907310248
54,0.907310248
55,0.907660021
56,0.908009794
57,0.908359566
58,0.908709339
59,0.908709339
60,0.908709339
61,0.909408884
62,0.908709339
63,0.909758657
64,0.909758657
65,0.909408884
66,0.908709339
67,0.910458202
68,0.909059112
69,0.909758657
70,0.908009794
71,0.909758657
72,0.909059112
73,0.909408884
74,0.91010843
75,0.91010843
76,0.91010843
77,0.909758657
78,0.91010843
79,0.909758657
80,0.909408884
81,0.909758657
82,0.909059112
83,0.909408884
84,0.909408884
85,0.91010843
86,0.909059112
87,0.909059112
88,0.908359566
89,0.909059112
90,0.909059112
91,0.909059112
92,0.908359566
93,0.908009794
94,0.909758657
95,0.91010843
96,0.909758657
97,0.909408884
98,0.909408884
99,0.909758657
100,0.909059112
