No. of trees,Accuracy
1,0.8622589050833334
2,0.8590488344999998
3,0.8869900511666667
4,0.889055989
5,0.8978132200833334
6,0.9000065640833332
7,0.9046383420833334
8,0.9055585840833333
9,0.9072457915833332
10,0.9065641329999998
11,0.90903843875
12,0.9083650738333332
13,0.9114208155000001
14,0.9122158491666666
15,0.9133698876666666
16,0.9135152853333334
17,0.9132607682499999
18,0.91310071725
19,0.9151541334166667
20,0.9143438260833334
21,0.9152400147500002
22,0.9147718281666667
23,0.9151966902500001
24,0.9149047022499999
25,0.9161124186666666
26,0.9162017287499998
27,0.9166861846666666
28,0.9160538299999997
29,0.9165975658333331
30,0.9166648084999999
31,0.9169277156666665
32,0.9168316938333332
33,0.917224933
34,0.9166092868333333
35,0.9169178383333333
36,0.9169470975
37,0.91734241875
38,0.9171144404166668
39,0.9169169670833334
40,0.9171990536666668
41,0.9165515865833335
42,0.9171904567500001
43,0.9177746259166666
44,0.9178413289166668
45,0.9177763775000001
46,0.91762566775
47,0.9179106229166667
48,0.9179069539999999
49,0.9178597515833333
50,0.9175588394166666
51,0.9178456615833332
52,0.9185690761666665
53,0.9187722293333334
54,0.9187103510833333
55,0.9187143445833333
56,0.91852500925
57,0.9184585639999999
58,0.91820500975
59,0.9185112890833335
60,0.9187310051666667
61,0.9187413205833334
62,0.9185362360833335
63,0.9188494625833336
64,0.9191307091666667
65,0.9192707337500002
66,0.9189599516666666
67,0.9190861544166666
68,0.91877306025
69,0.9189276515833334
70,0.9186598568333334
71,0.918713061
72,0.9189548566666668
73,0.9189737753333335
74,0.9191706807500001
75,0.9195285888333333
76,0.9193348034166666
77,0.9192763241666667
78,0.9194684715000001
79,0.9195461350833334
80,0.9194288869166667
81,0.9191981985000001
82,0.9189118174999998
83,0.9192983388333333
84,0.91922834775
85,0.9196571854166667
86,0.9194612402500001
87,0.9194734216666668
88,0.9196245128333334
89,0.9195004458333332
90,0.9195486470833333
91,0.9194578006666667
92,0.9192420809166667
93,0.9194796572500001
94,0.919598083
95,0.9196787103333333
96,0.9198858959999999
97,0.9198740268333334
98,0.9196098880000001
99,0.9195909934166666
100,0.91953709975
