Actual operator,Classification
Airtel,Airtel
Airtel,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,BSNL
RJio,Vodafone
BSNL,BSNL
Vodafone,Vodafone
Airtel,Vodafone
Vodafone,Vodafone
Idea,Idea
RJio,RJio
Idea,Idea
Vodafone,RJio
RJio,RJio
RJio,RJio
RJio,Vodafone
RJio,RJio
Airtel,Airtel
RJio,RJio
Idea,Idea
RJio,RJio
Idea,Idea
Airtel,Airtel
Vodafone,Vodafone
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Idea,Idea
RJio,RJio
Idea,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
Idea,Airtel
BSNL,BSNL
BSNL,Airtel
Airtel,Vodafone
Vodafone,Vodafone
Vodafone,Vodafone
Airtel,Airtel
RJio,RJio
Idea,Idea
BSNL,BSNL
Airtel,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
Airtel,RJio
Vodafone,Vodafone
RJio,RJio
RJio,RJio
RJio,RJio
Vodafone,Airtel
Airtel,Airtel
Other,Other
BSNL,BSNL
Idea,Idea
RJio,RJio
RJio,RJio
Airtel,Airtel
Airtel,RJio
RJio,RJio
Vodafone,Vodafone
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
Vodafone,Airtel
Airtel,Airtel
Vodafone,Airtel
Vodafone,Vodafone
Airtel,Airtel
Vodafone,Airtel
RJio,Vodafone
RJio,RJio
BSNL,BSNL
RJio,RJio
RJio,RJio
Airtel,Airtel
Airtel,Airtel
Other,Vodafone
RJio,RJio
Vodafone,Vodafone
Vodafone,Vodafone
RJio,RJio
RJio,RJio
Idea,Idea
Idea,RJio
RJio,RJio
RJio,RJio
Vodafone,Vodafone
Vodafone,Vodafone
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
RJio,RJio
Vodafone,Vodafone
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
RJio,Vodafone
RJio,RJio
RJio,BSNL
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
BSNL,BSNL
Vodafone,Vodafone
Vodafone,Vodafone
RJio,RJio
RJio,RJio
Airtel,Airtel
Idea,Idea
BSNL,BSNL
BSNL,BSNL
Airtel,Airtel
RJio,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
RJio,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
Airtel,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
Vodafone,Vodafone
Airtel,Airtel
Airtel,Airtel
RJio,Vodafone
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
