Actual operator,Classification
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Vodafone,Vodafone
Vodafone,Airtel
RJio,RJio
RJio,RJio
Airtel,Airtel
Airtel,Airtel
Airtel,RJio
Idea,RJio
Airtel,Airtel
Airtel,Airtel
RJio,RJio
Vodafone,Vodafone
Airtel,Idea
Airtel,Airtel
RJio,RJio
Other,Other
Airtel,Airtel
Vodafone,Vodafone
Other,Other
RJio,RJio
RJio,RJio
Other,Other
Airtel,Other
Airtel,RJio
Airtel,Airtel
Airtel,Airtel
RJio,RJio
Vodafone,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
RJio,Vodafone
RJio,RJio
RJio,RJio
Idea,Idea
Airtel,Airtel
Idea,Idea
RJio,RJio
Other,Other
Airtel,Airtel
RJio,RJio
Idea,Idea
Airtel,Airtel
Idea,Idea
RJio,RJio
Idea,Idea
RJio,RJio
Idea,Idea
Airtel,Airtel
Airtel,Airtel
RJio,RJio
Airtel,Airtel
Airtel,Airtel
Airtel,RJio
Airtel,Airtel
RJio,RJio
Airtel,Airtel
RJio,RJio
Airtel,Airtel
RJio,RJio
Idea,Idea
Other,Airtel
Airtel,Airtel
Airtel,Airtel
RJio,RJio
RJio,RJio
Airtel,Airtel
BSNL,BSNL
Other,Other
RJio,RJio
Vodafone,Vodafone
RJio,RJio
Idea,Idea
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
RJio,RJio
RJio,Airtel
Airtel,Airtel
RJio,RJio
Other,Other
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
BSNL,Airtel
RJio,RJio
Idea,Idea
Airtel,Airtel
Airtel,Airtel
RJio,Airtel
Vodafone,Vodafone
Other,Other
Airtel,Airtel
Airtel,Airtel
Vodafone,Vodafone
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
RJio,RJio
RJio,RJio
Idea,Idea
Other,Other
Airtel,Airtel
Other,Other
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Other,Other
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
RJio,RJio
Airtel,Airtel
Airtel,Idea
Airtel,Idea
Vodafone,Vodafone
Idea,Idea
Airtel,Airtel
RJio,Other
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
RJio,RJio
RJio,RJio
Airtel,Airtel
RJio,RJio
Other,Other
Idea,Idea
RJio,RJio
Airtel,Airtel
Vodafone,Vodafone
Airtel,Airtel
RJio,RJio
BSNL,Other
Other,Other
Airtel,Airtel
Airtel,Airtel
RJio,RJio
Airtel,Vodafone
Airtel,Airtel
Airtel,Airtel
RJio,RJio
RJio,RJio
Airtel,Airtel
RJio,RJio
Vodafone,Vodafone
RJio,RJio
Vodafone,Vodafone
Airtel,Airtel
RJio,RJio
RJio,Airtel
BSNL,BSNL
Idea,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Vodafone,Vodafone
RJio,RJio
Airtel,Airtel
RJio,Vodafone
Airtel,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
RJio,RJio
RJio,RJio
Vodafone,Vodafone
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
Airtel,Airtel
RJio,BSNL
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
RJio,RJio
Airtel,Airtel
Airtel,Airtel
RJio,RJio
Vodafone,Vodafone
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
Airtel,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
