Actual operator,Classification
Idea,Vodafone
RJio,RJio
RJio,RJio
Vodafone,Airtel
Idea,Idea
BSNL,BSNL
Idea,Vodafone
Vodafone,Vodafone
RJio,RJio
BSNL,BSNL
RJio,RJio
RJio,RJio
Idea,Idea
RJio,RJio
RJio,RJio
RJio,Vodafone
Airtel,Airtel
Vodafone,Vodafone
RJio,RJio
RJio,RJio
Idea,RJio
Vodafone,Vodafone
RJio,RJio
Vodafone,Vodafone
Vodafone,Vodafone
RJio,RJio
Vodafone,Vodafone
Vodafone,Vodafone
Vodafone,Vodafone
Vodafone,Vodafone
Vodafone,Vodafone
Vodafone,Vodafone
Vodafone,Vodafone
BSNL,Idea
RJio,RJio
Idea,Idea
RJio,RJio
RJio,RJio
Airtel,Airtel
BSNL,BSNL
RJio,RJio
Idea,Idea
Airtel,Airtel
Airtel,Other
RJio,RJio
Vodafone,Vodafone
BSNL,BSNL
BSNL,BSNL
BSNL,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Vodafone,Vodafone
RJio,RJio
RJio,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
Idea,Idea
Airtel,Airtel
RJio,RJio
Vodafone,Vodafone
Airtel,Airtel
BSNL,Airtel
RJio,Airtel
RJio,RJio
RJio,RJio
Airtel,Airtel
RJio,RJio
Airtel,Airtel
Vodafone,Vodafone
Airtel,RJio
Idea,Idea
RJio,RJio
Vodafone,Vodafone
Idea,Idea
RJio,RJio
RJio,RJio
RJio,RJio
RJio,RJio
Idea,Idea
RJio,RJio
RJio,RJio
RJio,RJio
Idea,Idea
Vodafone,Vodafone
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
RJio,Vodafone
Airtel,Airtel
Airtel,Airtel
RJio,RJio
Vodafone,Idea
RJio,Vodafone
Airtel,Airtel
Idea,RJio
Idea,Idea
Idea,Idea
Idea,RJio
Vodafone,Vodafone
RJio,RJio
Vodafone,Vodafone
RJio,RJio
Airtel,Airtel
RJio,Vodafone
RJio,RJio
Airtel,Vodafone
Idea,Idea
Idea,Idea
Vodafone,Airtel
Vodafone,Vodafone
RJio,RJio
