Actual operator,Classification
Airtel,Airtel
RJio,RJio
Airtel,Airtel
Airtel,Airtel
Airtel,RJio
RJio,RJio
Airtel,Airtel
RJio,RJio
Airtel,RJio
Airtel,Airtel
Airtel,RJio
Airtel,Airtel
Idea,Idea
RJio,RJio
BSNL,BSNL
BSNL,BSNL
RJio,RJio
RJio,RJio
BSNL,BSNL
RJio,RJio
Vodafone,Vodafone
Idea,Idea
RJio,RJio
BSNL,BSNL
Vodafone,Vodafone
RJio,RJio
Airtel,Airtel
Airtel,RJio
Airtel,Airtel
Airtel,Airtel
Vodafone,Vodafone
RJio,Vodafone
Airtel,Airtel
Idea,Vodafone
Airtel,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
Vodafone,RJio
RJio,RJio
Idea,Idea
Vodafone,Vodafone
Vodafone,Vodafone
Vodafone,Vodafone
Vodafone,Vodafone
RJio,RJio
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
RJio,RJio
Airtel,Airtel
Idea,Idea
Vodafone,Vodafone
Vodafone,Vodafone
RJio,RJio
Airtel,Airtel
Vodafone,Vodafone
Idea,Idea
Airtel,Airtel
BSNL,BSNL
Vodafone,Vodafone
RJio,RJio
Vodafone,Vodafone
RJio,RJio
Idea,Vodafone
RJio,RJio
Vodafone,Idea
RJio,RJio
RJio,Idea
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
Airtel,Airtel
Vodafone,Vodafone
Vodafone,Vodafone
RJio,RJio
Vodafone,Vodafone
RJio,RJio
Vodafone,Vodafone
Vodafone,Vodafone
RJio,RJio
RJio,RJio
RJio,RJio
Vodafone,RJio
Airtel,Airtel
RJio,RJio
RJio,RJio
RJio,RJio
Idea,Idea
RJio,RJio
RJio,RJio
Airtel,Airtel
Vodafone,Vodafone
RJio,RJio
Vodafone,Vodafone
Airtel,Airtel
Airtel,Airtel
RJio,RJio
BSNL,BSNL
Vodafone,Vodafone
RJio,RJio
RJio,RJio
RJio,RJio
Airtel,Airtel
Airtel,Airtel
BSNL,BSNL
BSNL,BSNL
BSNL,BSNL
BSNL,Airtel
BSNL,BSNL
BSNL,BSNL
BSNL,BSNL
BSNL,BSNL
Idea,Idea
BSNL,BSNL
RJio,RJio
RJio,RJio
Vodafone,Vodafone
Idea,Idea
RJio,RJio
RJio,RJio
RJio,RJio
Vodafone,Vodafone
RJio,RJio
RJio,RJio
RJio,RJio
RJio,Vodafone
RJio,RJio
RJio,RJio
Vodafone,RJio
Vodafone,Vodafone
Vodafone,Vodafone
RJio,RJio
RJio,RJio
Vodafone,Vodafone
Airtel,Airtel
Vodafone,Vodafone
RJio,RJio
Vodafone,Vodafone
Airtel,Airtel
Airtel,Airtel
RJio,RJio
BSNL,BSNL
RJio,RJio
Vodafone,Vodafone
Vodafone,Vodafone
Vodafone,Vodafone
Vodafone,Vodafone
Vodafone,MTNL
Idea,Idea
RJio,RJio
Vodafone,Vodafone
Vodafone,Vodafone
RJio,RJio
RJio,RJio
Idea,BSNL
RJio,RJio
RJio,RJio
Airtel,BSNL
Airtel,Airtel
