Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Indoor,3G,5,2,28.42296647,76.91232449,Haryana
RJio,Indoor,4G,4,2,11.15835753,77.30189698,Tamil Nadu
Airtel,Outdoor,3G,5,2,28.42293129,76.91225267,Haryana
Airtel,Travelling,3G,5,2,28.42294679,76.91226046,Haryana
RJio,Indoor,4G,5,2,25.62598952,85.09429420000001,Bihar
RJio,Travelling,4G,4,2,14.91332118,79.9937972,Andhra Pradesh
Airtel,Travelling,4G,1,2,19.9373255,73.53618993,Maharashtra
RJio,Outdoor,4G,4,2,26.89203316,75.7257245,Rajasthan
RJio,Indoor,4G,5,2,20.28782899,85.86483224,Odisha
RJio,Indoor,4G,2,2,9.426250956,77.80240493,Tamil Nadu
RJio,Indoor,4G,5,2,25.62596263,85.09411065,Bihar
Airtel,Outdoor,4G,5,2,26.78134153,82.15096136,Uttar Pradesh
RJio,Travelling,4G,5,2,26.93457594,81.18449479,Uttar Pradesh
RJio,Travelling,4G,3,1,19.057149,72.8328022,Maharashtra
Airtel,Indoor,4G,1,1,13.010252099999999,77.70340240000002,Karnataka
Airtel,Indoor,4G,1,1,13.010252099999999,77.70340240000002,Karnataka
RJio,Indoor,4G,1,1,28.5903277,76.99763329,NCT
RJio,Indoor,4G,1,1,28.5903277,76.99763329,NCT
RJio,Indoor,4G,1,1,28.52105051,77.08146611,Haryana
RJio,Indoor,4G,1,1,28.52105051,77.08146611,Haryana
RJio,Indoor,4G,2,1,28.52105051,77.08146611,Haryana
Vodafone,Indoor,3G,4,2,23.807779999999998,87.80579333,West Bengal
Airtel,Indoor,3G,1,2,27.626440600000002,78.128753,Uttar Pradesh
RJio,Indoor,4G,4,2,19.02451335,72.84809149,Maharashtra
Idea,Indoor,3G,5,2,22.71721167,75.87474667,Madhya Pradesh
BSNL,Indoor,4G,5,2,12.750605,77.8454152,Tamil Nadu
BSNL,Indoor,4G,4,2,12.7498889,77.8449504,Tamil Nadu
BSNL,Indoor,4G,4,2,12.750359800000002,77.8455073,Tamil Nadu
BSNL,Indoor,4G,4,2,12.750359800000002,77.8455073,Tamil Nadu
BSNL,Indoor,4G,4,2,12.750359800000002,77.8455073,Tamil Nadu
BSNL,Indoor,4G,4,2,12.7354769,77.8264306,Tamil Nadu
BSNL,Indoor,4G,5,2,12.750359800000002,77.8455073,Tamil Nadu
BSNL,Outdoor,4G,4,2,12.6832412,77.87870174,Tamil Nadu
BSNL,Indoor,4G,4,2,12.6832412,77.87870174,Tamil Nadu
