Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Outdoor,4G,4,Satisfactory,20.66873922,75.35166618,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.8399997,75.23590259999999,Maharashtra
Vodafone,Outdoor,3G,3,Satisfactory,22.802024499999998,70.8140185,Gujarat
Vodafone,Indoor,3G,4,Satisfactory,28.692893199999997,77.2819892,Uttar Pradesh
Airtel,Outdoor,3G,4,Satisfactory,22.30000806,73.19966401,Gujarat
RJio,Indoor,4G,5,Satisfactory,22.5686198,88.3555658,West Bengal
RJio,Outdoor,4G,1,Call Dropped,22.54587,88.11906333,West Bengal
Airtel,Travelling,4G,5,Satisfactory,28.580923600000002,77.1515009,NCT
RJio,Indoor,4G,5,Satisfactory,20.84083156,85.10375796,Odisha
RJio,Indoor,4G,5,Satisfactory,20.241677399999997,85.84134370000001,Odisha
RJio,Indoor,4G,3,Satisfactory,19.20738914,73.18586479999999,Maharashtra
RJio,Indoor,4G,3,Satisfactory,13.032603100000001,80.27418399999999,Tamil Nadu
Vodafone,Outdoor,3G,3,Satisfactory,28.484312699999997,77.52930874,Uttar Pradesh
BSNL,Indoor,2G,4,Satisfactory,23.42410963,71.86755511,Gujarat
Airtel,Indoor,3G,1,Call Dropped,28.24743088,76.81508001,Haryana
RJio,Outdoor,4G,5,Satisfactory,12.94265623,77.57267004,Karnataka
RJio,Indoor,4G,4,Satisfactory,23.0013186,72.5882132,Gujarat
RJio,Indoor,4G,3,Satisfactory,13.0325594,80.2741551,Tamil Nadu
Vodafone,Travelling,4G,4,Satisfactory,13.03472838,80.26795228,Tamil Nadu
Airtel,Indoor,4G,4,Satisfactory,13.02951799,80.20900175,Tamil Nadu
BSNL,Indoor,3G,1,Poor Voice Quality,9.2487075,76.61786359999999,Kerala
RJio,Travelling,4G,5,Satisfactory,22.55302428,88.37176553,West Bengal
RJio,Travelling,4G,5,Satisfactory,19.07189832,72.87984567,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,26.78226366,79.02712371,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,23.25677601,77.3929186,Madhya Pradesh
Idea,Outdoor,3G,4,Satisfactory,31.26445136,77.94468455,Himachal Pradesh
RJio,Outdoor,4G,4,Satisfactory,28.6520276,77.22668399999999,NCT
RJio,Travelling,4G,4,Satisfactory,28.46343324,77.07729405,Haryana
RJio,Travelling,4G,4,Satisfactory,23.272779999999997,77.38249299,Madhya Pradesh
RJio,Outdoor,4G,1,Satisfactory,21.15961674,79.06718274,Maharashtra
RJio,Outdoor,4G,3,Poor Voice Quality,22.81590079,86.21109498,Jharkhand
Airtel,Indoor,4G,5,Satisfactory,22.53677167,88.37427333,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,26.301945899999996,86.73411423,Bihar
RJio,Indoor,4G,3,Satisfactory,8.95422522,77.3027355,Tamil Nadu
Vodafone,Outdoor,4G,4,Satisfactory,22.8254435,70.84874029999999,Gujarat
RJio,Indoor,4G,4,Satisfactory,28.70853167,77.62795333,Uttar Pradesh
