Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Vodafone,Indoor,3G,5,Satisfactory,26.861221667,75.795593333,Rajasthan
Vodafone,Indoor,4G,5,Satisfactory,27.16212323,75.71148972,Rajasthan
Vodafone,Indoor,3G,5,Satisfactory,26.861041667,75.795356667,Rajasthan
Airtel,Indoor,3G,5,Satisfactory,17.446270035999998,78.50457117,Telangana
RJio,Indoor,4G,5,Satisfactory,21.49216949,86.91354666,Odisha
RJio,Travelling,4G,5,Satisfactory,12.913374699999999,80.1810992,Tamil Nadu
Airtel,Indoor,4G,4,Satisfactory,12.89200641,77.57931872,Karnataka
RJio,Indoor,4G,5,Satisfactory,25.5944212,91.9459318,Meghalaya
RJio,Outdoor,4G,4,Satisfactory,22.99415002,72.52031108,Gujarat
Vodafone,Travelling,3G,5,Satisfactory,19.01753193,72.84323553,Maharashtra
RJio,Indoor,4G,5,Satisfactory,28.5964766,77.08558029999999,NCT
Airtel,Travelling,4G,1,Poor Voice Quality,23.336931666999998,85.330526667,Jharkhand
Vodafone,Outdoor,3G,5,Satisfactory,26.87227023,75.77886777,Rajasthan
Vodafone,Indoor,3G,5,Satisfactory,26.86147305,75.79553674,Rajasthan
RJio,Indoor,4G,4,Satisfactory,23.0175866,72.5696636,Gujarat
Vodafone,Indoor,4G,4,Satisfactory,22.5754015,88.4012135,West Bengal
Vodafone,Indoor,4G,1,Call Dropped,19.057464000000003,72.8774542,Maharashtra
Idea,Indoor,3G,5,Satisfactory,19.996338917,73.731120841,Maharashtra
RJio,Travelling,4G,5,Satisfactory,22.39694578,87.56145808,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,28.52094927,77.08152145,Haryana
Idea,Indoor,3G,1,Poor Voice Quality,11.2555464,75.7871459,Kerala
RJio,Indoor,4G,4,Satisfactory,22.480564,88.40521020000001,West Bengal
Vodafone,Indoor,3G,4,Satisfactory,19.1924658,72.8394423,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,18.79777316,73.86842042,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,17.44510959,78.44154240000002,Telangana
RJio,Indoor,4G,4,Satisfactory,19.8419313,75.22867099999999,Maharashtra
Airtel,Travelling,3G,4,Satisfactory,28.64157027,77.34028911,Uttar Pradesh
Idea,Outdoor,4G,2,Poor Voice Quality,29.93688894,78.08931131,Uttarakhand
RJio,Indoor,4G,5,Satisfactory,21.464968,83.96999670000001,Odisha
Airtel,Outdoor,3G,4,Satisfactory,29.927804899999998,74.9476939,Haryana
Vodafone,Indoor,4G,5,Satisfactory,28.569283215,77.32560909600001,Uttar Pradesh
RJio,Outdoor,4G,2,Poor Voice Quality,25.7887508,84.71111409999999,Bihar
RJio,Indoor,4G,5,Satisfactory,20.30185461,85.822942257,Odisha
Vodafone,Outdoor,4G,5,Satisfactory,28.65623845,77.21584811,NCT
Airtel,Indoor,4G,1,Call Dropped,12.9978075,77.50795579999999,Karnataka
RJio,Indoor,4G,5,Satisfactory,20.3098827,85.81922829999999,Odisha
Vodafone,Travelling,3G,4,Satisfactory,12.95450489,77.68143764,Karnataka
Airtel,Outdoor,3G,1,Poor Voice Quality,28.705286667,76.905631667,Haryana
RJio,Indoor,4G,1,Poor Voice Quality,28.59027917,76.99776939,NCT
Airtel,Indoor,4G,5,Satisfactory,12.97455715,77.697284,Karnataka
Airtel,Outdoor,4G,5,Satisfactory,28.6398744,77.3766038,Uttar Pradesh
Airtel,Travelling,4G,4,Satisfactory,11.003259800000002,76.97085240000001,Tamil Nadu
RJio,Indoor,4G,3,Satisfactory,22.317161271999996,88.22671052700001,West Bengal
Airtel,Indoor,3G,1,Poor Voice Quality,28.632948333,77.209371667,NCT
RJio,Indoor,4G,3,Satisfactory,22.318158800000003,88.2284397,West Bengal
Vodafone,Travelling,3G,5,Satisfactory,26.90060886,75.73888925,Rajasthan
Vodafone,Indoor,2G,5,Satisfactory,28.5261108,77.14976970000001,NCT
Vodafone,Indoor,3G,5,Satisfactory,19.0214931,72.83435290000001,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,28.520618699999996,77.08216829999999,Haryana
RJio,Indoor,4G,1,Poor Voice Quality,26.73483598,88.40724622,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,13.01791227,77.66953125,Karnataka
Airtel,Indoor,4G,4,Satisfactory,12.97481838,77.63339544,Karnataka
