Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Indoor,2G,5,Satisfactory,21.3349807,70.8400644,Gujarat
RJio,Outdoor,4G,5,Satisfactory,25.4614531,81.87127393,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,25.4614531,81.87127393,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,25.46116207,81.87151571,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,18.60504475,73.87661102,Maharashtra
BSNL,Travelling,3G,2,Poor Voice Quality,25.3351892,83.0134347,Uttar Pradesh
BSNL,Travelling,3G,3,Poor Voice Quality,25.80027754,83.42353218,Uttar Pradesh
BSNL,Travelling,3G,3,Poor Voice Quality,25.80027754,83.42353218,Uttar Pradesh
BSNL,Travelling,3G,3,Poor Voice Quality,25.80027754,83.42353218,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,19.1295675,72.9297834,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.1295659,72.92978740000001,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.12950111,72.92977038,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.129424399999998,72.9299923,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.12560191,72.93270675,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.17084708,72.87786921,Maharashtra
RJio,Outdoor,4G,1,Poor Voice Quality,14.801487,75.40153000000001,Karnataka
RJio,Indoor,4G,5,Satisfactory,19.057103299999998,72.83271459999999,Maharashtra
Airtel,Outdoor,3G,3,Satisfactory,26.86245647,81.02206347,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,12.93069527,77.5866747,Karnataka
Airtel,Indoor,4G,3,Poor Voice Quality,12.894780800000001,77.57758179999999,Karnataka
Vodafone,Outdoor,4G,2,Poor Voice Quality,28.689194,77.331184,Uttar Pradesh
Vodafone,Indoor,3G,1,Call Dropped,28.451100300000004,77.08759271,Haryana
RJio,Outdoor,4G,2,Poor Voice Quality,27.973865999999997,73.3005,Rajasthan
RJio,Outdoor,4G,1,Poor Voice Quality,27.974024,73.30081,Rajasthan
RJio,Indoor,4G,5,Satisfactory,20.7787393,76.6995584,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,21.137045,72.8481,Gujarat
RJio,Indoor,4G,5,Satisfactory,25.594464499999997,91.94570920000001,Meghalaya
RJio,,4G,1,Poor Voice Quality,27.348915,77.73004,Uttar Pradesh
RJio,,4G,4,Satisfactory,21.92227,78.071075,Madhya Pradesh
Vodafone,,3G,4,Satisfactory,28.556185,77.32531999999999,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,26.2662098,73.03863179999999,Rajasthan
RJio,,4G,1,Poor Voice Quality,21.92227,78.071075,Madhya Pradesh
RJio,Outdoor,4G,1,Poor Voice Quality,14.803564000000001,75.40305,Karnataka
Vodafone,Outdoor,3G,1,Call Dropped,20.5206585,76.1917567,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,13.1125092,77.5675814,Karnataka
RJio,Travelling,4G,1,Poor Voice Quality,13.1125133,77.5675696,Karnataka
Airtel,Indoor,4G,5,Satisfactory,13.00741901,80.20567828,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,19.023365,73.02343499999999,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,19.023365,73.02343499999999,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,13.1125133,77.5675696,Karnataka
RJio,Outdoor,4G,5,Satisfactory,19.160809,83.41937,Odisha
RJio,Indoor,4G,1,Call Dropped,20.27525793,86.62657518,Odisha
RJio,Indoor,4G,1,Poor Voice Quality,13.1125133,77.5675696,Karnataka
RJio,,4G,5,Satisfactory,18.518919,73.85139000000001,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.023365,73.02343499999999,Maharashtra
RJio,Travelling,4G,4,Satisfactory,22.8521753,88.36519972,West Bengal
Idea,Indoor,2G,2,Poor Voice Quality,11.91213519,75.3639961,Kerala
