Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Idea,Outdoor,3G,3,Satisfactory,-1,-1,NA
Airtel,Indoor,2G,5,Satisfactory,21.3349807,70.8400644,Gujarat
RJio,Outdoor,4G,5,Satisfactory,25.4614531,81.87127393,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,25.4614531,81.87127393,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,25.46116207,81.87151571,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,18.60504475,73.87661102,Maharashtra
BSNL,Travelling,3G,2,Poor Voice Quality,25.3351892,83.0134347,Uttar Pradesh
BSNL,Travelling,3G,3,Poor Voice Quality,25.80027754,83.42353218,Uttar Pradesh
BSNL,Travelling,3G,3,Poor Voice Quality,25.80027754,83.42353218,Uttar Pradesh
BSNL,Travelling,3G,3,Poor Voice Quality,25.80027754,83.42353218,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,19.1295675,72.9297834,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.1295659,72.9297874,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.12950111,72.92977038,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.1294244,72.9299923,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.12560191,72.93270675,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.17084708,72.87786921,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,2,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,1,Poor Voice Quality,14.801487,75.40153,Karnataka
BSNL,Outdoor,Unknown,4,Satisfactory,9.4243397,77.5102744,Tamil Nadu
BSNL,Outdoor,Unknown,4,Satisfactory,9.4243397,77.5102744,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,19.0571033,72.8327146,Maharashtra
Airtel,Outdoor,3G,3,Satisfactory,26.86245647,81.02206347,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,12.93069527,77.5866747,Karnataka
Airtel,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,3,Poor Voice Quality,12.8947808,77.5775818,Karnataka
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
