Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Indoor,4G,5,2,26.99120098,75.77300998,Rajasthan
RJio,Indoor,4G,5,2,28.60609351,77.04353087,NCT
RJio,Indoor,4G,5,2,31.648167800000003,74.8753654,Punjab
RJio,Outdoor,4G,5,2,22.49310338,88.38507258,West Bengal
BSNL,Indoor,2G,5,2,17.43412637,78.40055718,Telangana
MTNL,Indoor,4G,5,2,19.021274899999998,72.83437540000001,Maharashtra
Airtel,Outdoor,4G,5,2,30.73191,76.66395,Punjab
Idea,Outdoor,4G,1,1,20.610604199999997,72.9288941,Gujarat
Airtel,Indoor,3G,3,1,17.4220422,78.51113570000001,Telangana
Airtel,Outdoor,3G,5,2,17.41713501,78.43082563,Telangana
RJio,Indoor,4G,2,1,25.591962699999996,85.1407421,Bihar
Airtel,Outdoor,3G,4,2,12.84048905,77.65013044,Karnataka
RJio,Indoor,4G,5,2,15.319174800000003,78.21967509999999,Andhra Pradesh
RJio,Outdoor,4G,3,2,30.3323308,76.4083993,Punjab
RJio,Indoor,4G,4,2,29.48046438,77.69214682,Uttar Pradesh
RJio,Indoor,4G,5,2,18.49678091,73.8106763,Maharashtra
Airtel,Travelling,4G,5,2,29.8548775,77.87477940000001,Uttarakhand
RJio,Outdoor,4G,4,2,18.9705945,72.8245757,Maharashtra
Airtel,Outdoor,4G,5,2,28.453993,77.0219,Haryana
RJio,Indoor,4G,4,2,22.94032143,88.35290321,West Bengal
RJio,Outdoor,4G,5,2,19.11987771,73.00628732,Maharashtra
RJio,Indoor,4G,4,2,12.94935524,77.62028958,Karnataka
Idea,Indoor,3G,3,1,9.7612942,76.5257172,Kerala
Vodafone,Outdoor,4G,4,2,23.092234,70.18213,Gujarat
RJio,Indoor,4G,5,2,18.9352879,72.8377007,Maharashtra
RJio,Outdoor,4G,5,2,20.428375,72.85078,Daman and Diu
Vodafone,Indoor,4G,5,2,19.20215265,72.97780495,Maharashtra
Idea,Outdoor,3G,1,1,18.492309699999996,73.85315609999999,Maharashtra
BSNL,Indoor,3G,5,2,17.6641361,75.92269870000001,Maharashtra
Airtel,Indoor,4G,2,1,12.9300719,77.55888109,Karnataka
RJio,Outdoor,4G,5,2,28.49937393,77.40318307,Uttar Pradesh
Airtel,Travelling,3G,4,2,18.095057999999998,75.426506,Maharashtra
RJio,Outdoor,4G,4,2,28.542725,77.12176,Delhi
RJio,Indoor,4G,4,2,18.5193891,73.85645769,Maharashtra
RJio,Indoor,4G,4,2,8.492412,76.9451387,Kerala
