Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Idea,Indoor,3G,1,Poor Voice Quality,19.69802507,72.77135016,Maharashtra
Idea,Outdoor,4G,1,Poor Voice Quality,19.8781445,72.7633182,Maharashtra
Idea,Indoor,4G,5,Satisfactory,19.92860146,72.76156747,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,30.27281159,78.07936318,Uttarakhand
RJio,Outdoor,4G,5,Satisfactory,30.27281159,78.07936318,Uttarakhand
RJio,Travelling,4G,1,Poor Voice Quality,29.69542562,76.14852647,Haryana
RJio,Travelling,4G,1,Poor Voice Quality,27.2868961,77.716151,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,30.27281159,78.07936318,Uttarakhand
RJio,Outdoor,4G,5,Satisfactory,30.28828294,77.99804367,Uttarakhand
RJio,Outdoor,4G,5,Satisfactory,30.28828294,77.99804367,Uttarakhand
RJio,Indoor,4G,1,Poor Voice Quality,25.19387428,85.3662416,Bihar
Airtel,Travelling,4G,5,Satisfactory,12.89464031,77.63641107,Karnataka
Airtel,Indoor,3G,5,Satisfactory,26.4606213,80.35490259999997,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,26.4605391,80.35474509999997,Uttar Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,25.19387428,85.3662416,Bihar
BSNL,Travelling,3G,5,Satisfactory,12.32467594,75.08516829999998,Kerala
Idea,Indoor,4G,1,Call Dropped,18.550296,73.949777,Maharashtra
Idea,Indoor,4G,1,Call Dropped,18.5539233,73.9003843,Maharashtra
Idea,Indoor,4G,1,Call Dropped,18.5539233,73.9003843,Maharashtra
RJio,Indoor,4G,2,Poor Voice Quality,22.6791339,72.86203520000002,Gujarat
RJio,Indoor,4G,3,Satisfactory,22.6791339,72.86203520000002,Gujarat
RJio,Indoor,4G,3,Satisfactory,22.6791339,72.86203520000002,Gujarat
RJio,Indoor,4G,2,Poor Voice Quality,22.6769655,72.86317890000002,Gujarat
RJio,Outdoor,4G,4,Satisfactory,11.23936725,77.20768723,Tamil Nadu
RJio,Outdoor,4G,1,Poor Voice Quality,25.2103832,85.35970446,Bihar
RJio,Indoor,4G,1,Call Dropped,17.4772378,78.3935045,Telangana
RJio,Outdoor,4G,1,Poor Voice Quality,25.2103832,85.35970446,Bihar
RJio,Indoor,4G,4,Satisfactory,28.5563114,77.1725734,NCT
RJio,Outdoor,4G,5,Satisfactory,26.285048,73.00035,Rajasthan
RJio,Indoor,4G,5,Satisfactory,22.7441282,71.62042480000002,Gujarat
RJio,Indoor,4G,3,Poor Voice Quality,17.4772374,78.39349770000003,Telangana
RJio,Indoor,4G,4,Satisfactory,28.556288800000004,77.1725547,NCT
RJio,Outdoor,4G,5,Satisfactory,23.183725,87.963646,West Bengal
BSNL,Indoor,3G,5,Satisfactory,13.0587383,77.5994436,Karnataka
Airtel,Indoor,4G,3,Satisfactory,29.18394167,77.3397,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,30.7043511,76.75559770000002,Punjab
Airtel,Indoor,4G,4,Satisfactory,20.3823288,72.91764959999998,Gujarat
Airtel,Outdoor,4G,5,Satisfactory,28.478140000000003,77.042046,Haryana
Airtel,Indoor,4G,1,Call Dropped,29.22332247,78.96974949,Uttarakhand
