Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Outdoor,4G,4,2,20.71869699,77.00999519,Maharashtra
Idea,Indoor,4G,5,2,28.72126973,77.20331180000001,NCT
Airtel,Outdoor,4G,5,2,26.09761966,87.94565423,West Bengal
RJio,Indoor,4G,4,2,18.96387019,73.0357374,Maharashtra
Airtel,Indoor,4G,2,1,12.91521979,77.55045552,Karnataka
Airtel,Indoor,4G,5,2,13.05755356,77.58366975,Karnataka
Vodafone,Travelling,3G,3,1,28.69169448,77.22768118,NCT
RJio,Indoor,4G,1,0,13.2903446,80.0655412,Tamil Nadu
Airtel,Indoor,3G,3,2,22.3170172,73.1681923,Gujarat
RJio,Outdoor,4G,3,2,28.7186939,77.1745779,NCT
Vodafone,Travelling,4G,1,1,28.689194,77.331184,Uttar Pradesh
Vodafone,Indoor,4G,5,2,19.0594824,73.0116555,Maharashtra
RJio,Indoor,4G,5,2,17.43815114,78.48417222,Telangana
Airtel,Indoor,4G,5,2,28.67560799,77.21197403,NCT
Airtel,Indoor,4G,5,2,13.057469699999999,77.5835881,Karnataka
RJio,Travelling,4G,5,2,28.6651032,77.056986,NCT
RJio,Indoor,4G,5,2,11.49410727,77.30127179,Tamil Nadu
RJio,Indoor,4G,2,1,22.99447787,72.51982120000001,Gujarat
Idea,Indoor,4G,4,2,19.41979679,72.80953544,Maharashtra
RJio,Outdoor,4G,4,2,28.50050403,77.40287824,Uttar Pradesh
RJio,Travelling,4G,5,2,22.33160012,71.24372446,Gujarat
RJio,Indoor,4G,5,2,18.62010833,73.77143833,Maharashtra
RJio,Indoor,4G,3,2,19.15196044,72.93727774,Maharashtra
RJio,Indoor,4G,4,2,11.87201257,75.36792956,Kerala
Airtel,Indoor,4G,4,2,26.479179,80.2895698,Uttar Pradesh
Airtel,Outdoor,3G,3,2,17.4847126,78.4114921,Telangana
Idea,Outdoor,3G,5,2,17.687653,78.37106999999999,Telangana
Airtel,Indoor,4G,4,2,19.05077253,72.90499033,Maharashtra
RJio,Indoor,4G,5,2,22.0978526,87.76076280000001,West Bengal
Vodafone,Indoor,4G,4,2,28.65368793,77.13118691,NCT
Airtel,Outdoor,3G,1,0,25.85227194,84.10137948,Bihar
RJio,Outdoor,3G,4,2,19.163479000000002,72.83464000000001,Maharashtra
RJio,Outdoor,4G,1,1,23.112034,72.59115600000001,Gujarat
Vodafone,Indoor,3G,4,2,22.8960892,70.8725749,Gujarat
Vodafone,Indoor,4G,3,2,20.36379912,72.92246800000001,Gujarat
Idea,Travelling,4G,1,1,27.090357,77.658394,Uttar Pradesh
RJio,Indoor,4G,4,2,13.6350782,79.4209759,Andhra Pradesh
Idea,Indoor,4G,4,2,12.78827576,78.36550968,Andhra Pradesh
RJio,Travelling,4G,5,2,23.256987,77.45312,Madhya Pradesh
RJio,Indoor,4G,3,2,28.537322800000002,77.2834355,Uttar Pradesh
RJio,Indoor,4G,1,1,17.4718554,78.3865335,Telangana
RJio,Indoor,4G,5,2,15.39736277,77.22374261,Andhra Pradesh
RJio,Indoor,4G,3,2,19.0427846,72.8621949,Maharashtra
RJio,Travelling,4G,5,2,21.18322258,83.60208342,Odisha
RJio,Outdoor,4G,4,2,13.059406300000001,77.5813843,Karnataka
Airtel,Outdoor,3G,4,2,28.608798999999998,77.3091,Delhi
Airtel,Indoor,4G,4,2,28.7280726,77.208392,NCT
Airtel,Indoor,4G,5,2,30.73117167,78.419605,Uttarakhand
Vodafone,Indoor,4G,2,1,22.5786871,88.29856590000001,West Bengal
Vodafone,Indoor,3G,5,2,23.62748342,72.38909554,Gujarat
RJio,Indoor,4G,5,2,31.64813902,74.8753602,Punjab
RJio,Travelling,4G,5,2,24.6374609,87.9166855,West Bengal
RJio,Outdoor,4G,5,2,17.66883,75.888336,Maharashtra
BSNL,Indoor,3G,3,2,16.793192,80.8276309,Andhra Pradesh
RJio,Indoor,4G,4,2,10.01524928,76.36404286,Kerala
Vodafone,Indoor,4G,5,2,15.18576438,76.62977144,Karnataka
Vodafone,Indoor,4G,3,2,20.38290428,72.89976894,Gujarat
Vodafone,Indoor,4G,5,2,13.04804713,80.15472752,Tamil Nadu
Vodafone,Indoor,4G,5,2,15.18612396,76.62956013,Karnataka
RJio,Indoor,4G,2,0,11.23941203,77.20775458,Tamil Nadu
Vodafone,Indoor,4G,4,2,22.24905001,73.205126,Gujarat
Vodafone,Travelling,4G,5,2,12.92760068,77.58342318,Karnataka
Vodafone,Indoor,4G,2,1,20.382568399999997,72.90152783,Gujarat
Vodafone,Travelling,4G,4,2,17.677419,75.9051308,Maharashtra
RJio,Travelling,4G,1,1,23.31652857,88.70809887,West Bengal
Airtel,Indoor,4G,4,2,24.8561015,87.7721553,West Bengal
RJio,Outdoor,4G,4,2,22.21170086,84.86169303,Odisha
