Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Indoor,3G,1,Poor Voice Quality,12.9291538,77.6756788,Karnataka
RJio,Indoor,4G,2,Poor Voice Quality,23.2576323,77.3973973,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576323,77.3973973,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.257620000000003,77.3973838,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576153,77.3973868,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.257634799999998,77.3974858,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494615999998,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494615999998,77.435607449,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494615999998,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494615999998,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494615999998,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576408,77.3974848,Madhya Pradesh
RJio,Travelling,4G,2,Poor Voice Quality,23.257658,77.39747679999999,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2575299,77.3972917,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2575299,77.3972917,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576323,77.3973973,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576323,77.3973973,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.257620000000003,77.3973838,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576153,77.3973868,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.257634799999998,77.3974858,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494615999998,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494615999998,77.435607449,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494615999998,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494615999998,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494615999998,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576408,77.3974848,Madhya Pradesh
RJio,Travelling,4G,2,Poor Voice Quality,23.257658,77.39747679999999,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2575299,77.3972917,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2575299,77.3972917,Madhya Pradesh
RJio,Indoor,4G,5,Satisfactory,22.579523271,88.414326038,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.587413199999997,88.4217696,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.587390300000003,88.42176620000001,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.579523271,88.414326038,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.587413,88.4217695,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.587395,88.4217628,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.579523271,88.414326038,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.579523271,88.414326038,West Bengal
RJio,Outdoor,4G,5,Satisfactory,22.5870449,88.42211800000001,West Bengal
RJio,Outdoor,4G,5,Satisfactory,22.587564898000004,88.42259953,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49377618,88.38382390000001,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49355212,88.38394723,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.587459,88.4217123,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.587474,88.4217469,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49384271,88.38415627,West Bengal
RJio,Outdoor,4G,5,Satisfactory,22.49384271,88.38415627,West Bengal
RJio,Outdoor,4G,5,Satisfactory,22.49384271,88.38415627,West Bengal
Vodafone,Indoor,4G,5,Satisfactory,22.5874667,88.42173709999999,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.5874674,88.4216885,West Bengal
RJio,Travelling,4G,5,Satisfactory,22.5874614,88.4217058,West Bengal
RJio,Outdoor,4G,5,Satisfactory,22.524933055,88.39598813100001,West Bengal
Vodafone,Indoor,4G,5,Satisfactory,22.493544600000003,88.38417009999999,West Bengal
Vodafone,Indoor,4G,5,Satisfactory,22.493172199999997,88.38417009999999,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.493544600000003,88.38417009999999,West Bengal
Vodafone,Indoor,4G,5,Satisfactory,22.49365866,88.38398513,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49365866,88.38398513,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49365866,88.38398513,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.493861353000003,88.383938446,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49370046,88.38395304,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.4940218,88.3836936,West Bengal
Vodafone,Indoor,4G,5,Satisfactory,22.493658800000002,88.38397940000002,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49370046,88.38395304,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49370046,88.38395304,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49370046,88.38395304,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49370046,88.38395304,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.49370046,88.38395304,West Bengal
Vodafone,Indoor,4G,5,Satisfactory,22.49370046,88.38395304,West Bengal
