Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Vodafone,Outdoor,4G,3,Satisfactory,-1,-1,
Vodafone,Travelling,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,1,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Travelling,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Travelling,2G,2,Poor Voice Quality,-1,-1,
Vodafone,Travelling,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Travelling,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,3G,3,Satisfactory,-1,-1,
Vodafone,Travelling,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Travelling,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Travelling,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,4G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,2G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,4G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,2G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,3G,3,Satisfactory,-1,-1,
Vodafone,Travelling,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Travelling,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Travelling,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,4G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,4G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,4G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,4G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,4G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,2,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,3G,3,Satisfactory,-1,-1,
Vodafone,Outdoor,3G,3,Satisfactory,-1,-1,
Vodafone,Indoor,Unknown,1,Call Dropped,-1,-1,
Vodafone,Indoor,Unknown,3,Satisfactory,12.9291538,77.6756788,Karnataka
Airtel,Indoor,3G,1,Poor Voice Quality,12.9291538,77.6756788,Karnataka
Airtel,Indoor,3G,1,Poor Voice Quality,-1,-1,
Airtel,Outdoor,3G,2,Call Dropped,-1,-1,
RJio,Indoor,4G,2,Poor Voice Quality,23.2576323,77.3973973,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576323,77.3973973,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.25762,77.3973838,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576153,77.3973868,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576348,77.3974858,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494616,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494616,77.435607449,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494616,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494616,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494616,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576408,77.3974848,Madhya Pradesh
RJio,Travelling,4G,2,Poor Voice Quality,23.257658,77.3974768,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2575299,77.3972917,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2575299,77.3972917,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576323,77.3973973,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576323,77.3973973,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.25762,77.3973838,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576153,77.3973868,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576348,77.3974858,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494616,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494616,77.435607449,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494616,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494616,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.253494616,77.435607449,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576318,77.3974786,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2576408,77.3974848,Madhya Pradesh
RJio,Travelling,4G,2,Poor Voice Quality,23.257658,77.3974768,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2575299,77.3972917,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,23.2575299,77.3972917,Madhya Pradesh
RJio,Indoor,4G,5,Satisfactory,22.579523271,88.414326038,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.5874132,88.4217696,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.5873903,88.4217662,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.579523271,88.414326038,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.587413,88.4217695,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.587395,88.4217628,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.579523271,88.414326038,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.579523271,88.414326038,West Bengal
