Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Outdoor,4G,5,2,9.6667239,76.543352,Kerala
RJio,Indoor,4G,5,2,28.6338626,77.4517318,Uttar Pradesh
RJio,Outdoor,4G,5,2,28.6338626,77.4517318,Uttar Pradesh
RJio,Outdoor,4G,5,2,28.6338626,77.4517318,Uttar Pradesh
RJio,Indoor,4G,5,2,18.979925,73.031775,Maharashtra
BSNL,Indoor,3G,4,2,18.4857275,73.7946677,Maharashtra
RJio,Indoor,4G,5,2,18.979925,73.031775,Maharashtra
RJio,Indoor,4G,5,2,18.979925,73.031775,Maharashtra
BSNL,Indoor,3G,4,2,18.4818566,73.7953252,Maharashtra
Airtel,Outdoor,4G,2,1,26.5191409,84.2801618,Bihar
RJio,Indoor,4G,5,2,18.979925,73.031775,Maharashtra
RJio,Indoor,4G,5,2,18.979925,73.031775,Maharashtra
RJio,Indoor,4G,5,2,18.979925,73.031775,Maharashtra
RJio,Indoor,4G,5,2,13.0420191,80.218513,Tamil Nadu
RJio,Indoor,4G,5,2,13.0444154,80.212526,Tamil Nadu
RJio,Indoor,4G,5,2,13.1232655,80.1914627,Tamil Nadu
RJio,Indoor,4G,5,2,13.1232492,80.1914686,Tamil Nadu
RJio,Indoor,4G,5,2,13.125485,80.1934473,Tamil Nadu
RJio,Indoor,4G,5,2,13.1232603,80.1914527,Tamil Nadu
RJio,Indoor,4G,5,2,13.12326,80.1914527,Tamil Nadu
RJio,Indoor,4G,5,2,13.0420159,80.2185213,Tamil Nadu
RJio,Indoor,4G,5,2,13.12334073,80.19146689,Tamil Nadu
RJio,Indoor,4G,5,2,13.1232373,80.1914527,Tamil Nadu
RJio,Indoor,4G,5,2,13.123238,80.1914519,Tamil Nadu
RJio,Indoor,4G,5,2,13.12344175,80.19149874,Tamil Nadu
RJio,Travelling,4G,5,2,13.1232377,80.1914516,Tamil Nadu
RJio,Indoor,4G,5,2,13.1232485,80.1914602,Tamil Nadu
RJio,Indoor,4G,5,2,13.0419801,80.2185152,Tamil Nadu
RJio,Indoor,4G,5,2,13.0419796,80.2185151,Tamil Nadu
RJio,Indoor,4G,5,2,13.0419832,80.2185026,Tamil Nadu
BSNL,Indoor,3G,5,2,13.06569074,80.2326511,Tamil Nadu
BSNL,Indoor,3G,5,2,13.09074155,80.26967553,Tamil Nadu
RJio,Outdoor,4G,4,2,19.0109708,72.8252254,Maharashtra
Airtel,Indoor,4G,4,2,12.9178377,80.128412,Tamil Nadu
Vodafone,Indoor,2G,2,1,28.4158786,77.0580414,Haryana
RJio,Outdoor,4G,1,1,26.73006783,88.40544039,West Bengal
Vodafone,Indoor,2G,2,0,28.4158786,77.0580414,Haryana
RJio,Indoor,4G,5,2,18.979925,73.031775,Maharashtra
Airtel,Indoor,4G,1,0,30.1228359,78.3083123,Uttarakhand
RJio,Indoor,4G,5,2,18.979925,73.031775,Maharashtra
RJio,Outdoor,4G,5,2,13.040835,77.50971,Karnataka
Airtel,Indoor,4G,1,0,30.1226985,78.3090037,Uttarakhand
Airtel,Indoor,3G,1,0,28.5959263,77.0440004,NCT
Airtel,Travelling,4G,1,0,28.5766768,77.1135868,NCT
Airtel,Travelling,4G,1,0,28.6440325,77.3328425,Uttar Pradesh
Airtel,Travelling,4G,1,0,28.6439344,77.3310764,Uttar Pradesh
Airtel,Travelling,4G,1,1,28.6442362,77.3333398,Uttar Pradesh
Airtel,Travelling,4G,1,0,28.6442362,77.3333398,Uttar Pradesh
Airtel,Travelling,4G,1,0,28.6442362,77.3333398,Uttar Pradesh
Airtel,Travelling,4G,1,0,28.6422551,77.3351345,Uttar Pradesh
Airtel,Travelling,4G,1,0,28.6441153,77.3358524,Uttar Pradesh
Airtel,Travelling,4G,1,0,28.6433103,77.3337174,Uttar Pradesh
Airtel,Travelling,4G,1,1,28.5737901,77.178075,NCT
RJio,Indoor,4G,4,2,23.11408244,72.62943126,Gujarat
Vodafone,Indoor,3G,3,1,9.9627472,76.2868913,Kerala
Airtel,Outdoor,4G,4,2,12.9180625,80.1283541,Tamil Nadu
Airtel,Indoor,4G,3,2,12.952195,77.49497833,Karnataka
Vodafone,Indoor,3G,1,1,28.68405174,77.22272178,NCT
Vodafone,Indoor,3G,1,1,28.68408021,77.22270121,NCT
Vodafone,Indoor,3G,1,1,28.68379242,77.22246815,NCT
Vodafone,Indoor,3G,1,1,28.6836247,77.2227692,NCT
Vodafone,Indoor,3G,1,1,28.625732,77.2142424,NCT
Vodafone,Travelling,3G,1,1,28.68408153,77.22270721,NCT
Vodafone,Indoor,3G,1,1,28.6224789,77.2132028,NCT
Vodafone,Indoor,3G,1,1,28.6226464,77.2130215,NCT
Vodafone,Indoor,3G,1,1,28.622654,77.2130016,NCT
Vodafone,Indoor,3G,2,1,28.6223334,77.2129649,NCT
Vodafone,Indoor,3G,1,1,28.6225196,77.2131211,NCT
Vodafone,Indoor,3G,1,1,28.62265,77.2129934,NCT
Vodafone,Indoor,4G,1,1,28.6226149,77.2129991,NCT
Vodafone,Indoor,3G,1,1,28.57353892,77.19078295,NCT
Airtel,Indoor,4G,4,2,23.26390133,88.13918306,West Bengal
Airtel,Indoor,4G,4,2,23.26390568,88.13919114,West Bengal
Vodafone,Indoor,3G,2,1,20.37336582,72.91395128,Gujarat
Vodafone,Indoor,4G,2,1,20.37336582,72.91395128,Gujarat
RJio,Outdoor,4G,5,2,22.150908,82.27993,Chhattisgarh
RJio,Indoor,4G,4,2,18.51974981,73.85613747,Maharashtra
RJio,Indoor,4G,4,2,18.51974981,73.85613747,Maharashtra
Idea,Indoor,4G,5,2,28.82241894,78.72764588,Uttar Pradesh
Idea,Indoor,4G,2,1,28.821668,78.73053,Uttar Pradesh
Airtel,Indoor,4G,5,2,23.26390568,88.13919114,West Bengal
Airtel,Outdoor,4G,4,2,22.0656132,82.15563376,Chhattisgarh
Idea,Travelling,2G,1,1,21.875214,88.18797,West Bengal
Idea,Travelling,3G,1,1,22.550154,88.3626,West Bengal
Idea,Outdoor,3G,4,2,22.550154,88.3626,West Bengal
RJio,Indoor,4G,3,2,28.00755285,73.31638409,Rajasthan
Airtel,Indoor,4G,5,2,23.26390568,88.13919114,West Bengal
RJio,Travelling,4G,5,2,22.14997028,71.19954151,Gujarat
Airtel,Indoor,4G,5,2,23.26390568,88.13919114,West Bengal
Vodafone,Indoor,3G,4,2,22.63569278,88.4398478,West Bengal
Airtel,Indoor,4G,5,2,24.10803439,88.26035258,West Bengal
Airtel,Indoor,4G,2,1,29.2890387,77.94915114,Uttar Pradesh
RJio,Indoor,4G,5,2,12.9681711,79.1458576,Tamil Nadu
RJio,Travelling,4G,5,2,21.30091033,83.400833,Odisha
RJio,Indoor,4G,3,2,28.00755285,73.31638409,Rajasthan
Airtel,Outdoor,4G,1,0,12.956114,77.5926522,Karnataka
Airtel,Travelling,4G,1,1,12.956114,77.5926522,Karnataka
Airtel,Travelling,4G,1,1,12.95947222,77.59256026,Karnataka
RJio,Indoor,4G,5,2,21.34768923,83.60141639,Odisha
Airtel,Outdoor,4G,4,2,22.62416,88.41651,West Bengal
BSNL,Indoor,3G,4,2,18.4906025,73.9547732,Maharashtra
Airtel,Indoor,4G,5,2,16.9953112,82.2527277,Andhra Pradesh
RJio,Indoor,4G,5,2,29.67287285,77.00750091,Haryana
RJio,Outdoor,4G,5,2,20.7285727,77.01898736,Maharashtra
RJio,Outdoor,4G,5,2,20.7285727,77.01898736,Maharashtra
RJio,Indoor,4G,5,2,27.03614555,83.00445232,Uttar Pradesh
RJio,Indoor,4G,5,2,27.03614555,83.00445232,Uttar Pradesh
Idea,Indoor,4G,2,1,12.04683786,75.52422079,Kerala
Idea,Indoor,4G,2,1,12.04683786,75.52422079,Kerala
Idea,Indoor,4G,2,1,12.04683786,75.52422079,Kerala
Idea,Indoor,4G,2,1,12.04683786,75.52422079,Kerala
Idea,Indoor,4G,2,1,12.04644031,75.52292571,Kerala
Idea,Indoor,4G,2,1,12.0466722,75.5239921,Kerala
RJio,Outdoor,4G,5,2,19.141733,72.83241,Maharashtra
RJio,Indoor,4G,4,2,29.13175437,75.71089208,Haryana
Idea,Indoor,3G,2,1,12.0466722,75.5239921,Kerala
Airtel,Travelling,4G,1,0,23.03397517,72.68866607,Gujarat
Vodafone,Indoor,4G,5,2,28.6841473,77.19259486,NCT
Airtel,Indoor,3G,1,1,30.121891,78.3079364,Uttarakhand
RJio,Outdoor,4G,5,2,29.16234359,79.14419729,Uttarakhand
Airtel,Indoor,4G,3,2,27.81018279,76.63259569,Rajasthan
Airtel,Outdoor,4G,4,2,23.820013,86.43494,Jharkhand
RJio,Travelling,4G,5,2,26.780453,80.970505,Uttar Pradesh
RJio,Indoor,4G,5,2,21.34768923,83.60141639,Odisha
Airtel,Indoor,4G,4,2,23.26390087,88.13921586,West Bengal
RJio,Outdoor,4G,4,2,28.637869,77.03142,NCT
Airtel,Indoor,4G,5,2,19.386445,72.8233514,Maharashtra
Airtel,Indoor,4G,5,2,19.386445,72.8233514,Maharashtra
RJio,Indoor,4G,5,2,12.90995667,77.68736333,Karnataka
RJio,Outdoor,4G,5,2,23.110762,72.58482,Gujarat
RJio,Outdoor,4G,5,2,23.247604,72.48576,Gujarat
Airtel,Indoor,4G,3,2,12.95161,77.495285,Karnataka
RJio,Indoor,4G,5,2,27.03613898,83.00442722,Uttar Pradesh
Other,Travelling,4G,1,1,16.891714,79.87179,Telangana
RJio,Indoor,4G,5,2,27.03613898,83.00442722,Uttar Pradesh
RJio,Indoor,4G,4,2,19.84191909,75.22858067,Maharashtra
RJio,Indoor,4G,4,2,19.84191909,75.22858067,Maharashtra
Idea,Indoor,4G,2,1,12.04699125,75.52408568,Kerala
Vodafone,Indoor,3G,3,2,18.62841007,73.79336483,Maharashtra
RJio,Indoor,4G,1,1,30.81416507,76.74763654,Chandigarh
Idea,Outdoor,4G,1,1,15.816972,78.01603,Telangana
Idea,Indoor,4G,2,1,12.04699125,75.52408568,Kerala
Vodafone,Indoor,3G,5,2,23.55430163,72.61996594,Gujarat
BSNL,Indoor,3G,4,2,18.4906837,73.9549017,Maharashtra
BSNL,Indoor,2G,4,2,19.600437,76.693785,Maharashtra
Airtel,Outdoor,4G,1,1,28.66905912,77.2846263,NCT
Airtel,Outdoor,2G,1,1,30.123125,78.3081341,Uttarakhand
RJio,Indoor,4G,2,1,22.6787311,72.8612131,Gujarat
RJio,Indoor,4G,3,1,18.56484908,73.91813505,Maharashtra
RJio,Indoor,4G,4,2,27.56336416,78.64655749,Uttar Pradesh
RJio,Indoor,4G,5,2,12.90995833,77.687305,Karnataka
Airtel,Travelling,4G,4,2,19.1441431,72.82706857,Maharashtra
Airtel,Indoor,4G,3,1,19.1441431,72.82706857,Maharashtra
Airtel,Travelling,4G,3,1,19.09006806,72.83840248,Maharashtra
Airtel,Travelling,4G,4,2,19.09006806,72.83840248,Maharashtra
Airtel,Indoor,4G,3,1,19.14388473,72.82696716,Maharashtra
Idea,Indoor,4G,5,2,30.16554787,74.98060721,Punjab
Airtel,Indoor,4G,5,2,16.9950964,82.2527032,Andhra Pradesh
Airtel,Indoor,4G,1,0,17.43033725,78.37234137,Telangana
RJio,Indoor,4G,4,2,22.85218078,88.36519883,West Bengal
RJio,Indoor,4G,5,2,29.13175437,75.71089208,Haryana
RJio,Outdoor,4G,4,2,11.0099863,77.0081404,Tamil Nadu
Airtel,Indoor,2G,1,0,30.1313883,78.3226248,Uttarakhand
Airtel,Indoor,4G,1,0,30.1198519,78.3090037,Uttarakhand
Airtel,Outdoor,3G,1,1,30.1219229,78.3082921,Uttarakhand
Airtel,Outdoor,4G,1,1,30.1194961,78.3090037,Uttarakhand
RJio,Indoor,4G,5,2,21.34772724,83.60170037,Odisha
Vodafone,Outdoor,3G,2,1,12.932116,80.13745,Tamil Nadu
Airtel,Outdoor,4G,1,0,12.92387753,77.65171015,Karnataka
BSNL,Indoor,2G,3,2,16.793214,80.8276845,Andhra Pradesh
RJio,Outdoor,4G,5,2,12.9542465,77.69846,Karnataka
RJio,Indoor,4G,5,2,29.13175437,75.71089208,Haryana
RJio,Indoor,4G,1,1,28.57521997,77.25712965,NCT
RJio,Indoor,4G,1,1,28.57521997,77.25712965,NCT
Vodafone,Indoor,4G,5,2,26.8038763,75.84520525,Rajasthan
Vodafone,Indoor,4G,5,2,26.8038763,75.84520525,Rajasthan
Vodafone,Indoor,3G,5,2,26.8038763,75.84520525,Rajasthan
Vodafone,Indoor,4G,5,2,24.26933638,76.43522614,Madhya Pradesh
RJio,Indoor,4G,4,2,11.0072496,77.0104714,Tamil Nadu
RJio,Outdoor,4G,4,2,12.99614143,77.68398332,Karnataka
RJio,Travelling,4G,3,1,23.01309431,71.20668091,Gujarat
Airtel,Indoor,4G,1,1,17.4149568,78.41236,Telangana
RJio,Indoor,4G,4,2,22.09663163,87.74945473,West Bengal
RJio,Indoor,4G,4,2,22.09663163,87.74945473,West Bengal
Vodafone,Travelling,3G,2,1,12.960628,77.702866,Karnataka
RJio,Indoor,4G,1,1,28.6660629,77.1156985,NCT
RJio,Indoor,4G,5,2,18.94277833,73.15678833,Maharashtra
RJio,Indoor,4G,5,2,18.94277833,73.15678833,Maharashtra
RJio,Indoor,4G,5,2,18.94277833,73.15678833,Maharashtra
RJio,Indoor,4G,5,2,17.40186073,78.37169562,Telangana
Airtel,Indoor,4G,5,2,26.11695001,87.9327949,West Bengal
RJio,Indoor,4G,5,2,19.89704875,82.65867952,Chhattisgarh
Vodafone,Indoor,3G,5,2,19.17380877,72.9603952,Maharashtra
Airtel,Indoor,4G,5,2,18.60740996,73.75161407,Maharashtra
RJio,Indoor,4G,1,0,27.1955679,77.9631599,Uttar Pradesh
RJio,Indoor,4G,5,2,12.89626611,77.58413818,Karnataka
Other,Travelling,4G,1,1,16.891714,79.87179,Telangana
RJio,Indoor,4G,3,2,19.0427726,72.8621954,Maharashtra
Idea,Travelling,3G,4,2,17.44334,78.492485,Telangana
Airtel,Outdoor,4G,2,1,26.5196091,84.2774219,Bihar
Airtel,Indoor,4G,5,2,26.11695001,87.9327949,West Bengal
Airtel,Travelling,4G,1,1,16.5095745,80.64654941,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.5095745,80.64654941,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.5095745,80.64654941,Andhra Pradesh
Airtel,Travelling,2G,2,1,16.5094428,80.6465958,Andhra Pradesh
Airtel,Indoor,4G,2,1,16.5097164,80.6464225,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.5095946,80.6465108,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.4986566,80.652868,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.4986566,80.652868,Andhra Pradesh
Airtel,Indoor,4G,2,1,16.4986566,80.652868,Andhra Pradesh
Airtel,Travelling,4G,2,0,16.4984715,80.6526766,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.498604,80.6528563,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.498604,80.6528563,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.498604,80.6528563,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.498604,80.6528563,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.498628,80.652852,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.4985525,80.6528917,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.4984625,80.6526561,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.4984625,80.6526561,Andhra Pradesh
Airtel,Indoor,4G,2,1,16.498582,80.6528948,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.4985926,80.6528754,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.4985926,80.6528754,Andhra Pradesh
Airtel,Indoor,4G,1,1,16.4985525,80.6528937,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.5106962,80.6409819,Andhra Pradesh
Airtel,Indoor,4G,2,1,16.5106962,80.6409819,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.4970904,80.6561553,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.5096324,80.6464368,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50967,80.6468066,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Indoor,4G,2,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Indoor,4G,1,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50287734,80.65220667,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.50964754,80.64654755,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.50389305,80.64801784,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50389305,80.64801784,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50389305,80.64801784,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.50389305,80.64801784,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.50389305,80.64801784,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50389305,80.64801784,Andhra Pradesh
Airtel,Indoor,4G,1,1,16.49673675,80.65602997,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.49863541,80.65278305,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.49863541,80.65278305,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.50067972,80.65407154,Andhra Pradesh
Airtel,Indoor,4G,1,1,16.50977747,80.64646404,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,1,1,16.49870134,80.65300273,Andhra Pradesh
Airtel,Travelling,4G,2,1,16.49870134,80.65300273,Andhra Pradesh
