Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Indoor,3G,1,1,10.81570682,79.84051192,Tamil Nadu
RJio,Indoor,4G,1,1,28.57521997,77.25712965,NCT
RJio,Indoor,4G,5,2,21.34276411,83.61616787,Odisha
RJio,Travelling,4G,1,1,28.378391,77.306526,Haryana
RJio,Indoor,4G,4,2,22.8519767,88.36512948,West Bengal
RJio,Outdoor,4G,3,2,19.21113618,73.17676315,Maharashtra
RJio,Indoor,4G,1,1,23.61398667,87.11314833,West Bengal
Airtel,Indoor,4G,5,2,23.27056914,77.45726526,Madhya Pradesh
Vodafone,Indoor,4G,4,2,12.9914665,77.7294181,Karnataka
RJio,Indoor,4G,4,2,13.0105596,77.668213,Karnataka
Airtel,Indoor,3G,5,2,23.1926496,72.6256501,Gujarat
RJio,Indoor,4G,3,2,16.4920511,80.6643274,Andhra Pradesh
RJio,Indoor,4G,5,2,18.97177539,72.8378718,Maharashtra
RJio,Indoor,4G,5,2,19.89704875,82.65867952,Chhattisgarh
Airtel,Indoor,4G,5,2,17.464016,78.4300904,Telangana
RJio,Indoor,4G,4,2,22.01397054,82.59278069,Chhattisgarh
Airtel,Indoor,4G,1,1,13.00558402,77.56964028,Karnataka
RJio,Outdoor,4G,5,2,20.04987847,85.48408067,Odisha
Airtel,Outdoor,4G,3,2,13.574566,79.30045,Andhra Pradesh
Airtel,Outdoor,4G,4,2,12.9371674,77.4931287,Karnataka
RJio,Indoor,4G,3,2,0,0,Western
Airtel,Indoor,4G,4,2,13.33657615,77.10204597,Karnataka
RJio,Indoor,4G,5,2,26.92451877,80.94706488,Uttar Pradesh
RJio,Indoor,4G,5,2,19.0164051,72.8343165,Maharashtra
Airtel,Indoor,3G,5,2,17.46209481,78.46451176,Telangana
RJio,Indoor,4G,4,2,19.841794,75.2305861,Maharashtra
RJio,Indoor,4G,4,2,18.50398219,73.92791859,Maharashtra
RJio,Indoor,4G,4,2,19.01010774,73.03274771,Maharashtra
Vodafone,Indoor,4G,2,1,20.37256269,72.91452573,Gujarat
Airtel,Travelling,4G,1,1,16.5097099,80.646601,Andhra Pradesh
RJio,Indoor,4G,5,2,28.6365833,77.4326474,Uttar Pradesh
RJio,Indoor,4G,4,2,23.0219555,72.54627237,Gujarat
Airtel,Outdoor,4G,1,1,28.66930769,77.28456285,NCT
RJio,Indoor,4G,5,2,21.34320671,83.62289988,Odisha
RJio,Outdoor,4G,5,2,12.99259333,77.764395,Karnataka
Airtel,Outdoor,4G,2,1,13.930415,75.566696,Karnataka
RJio,Indoor,4G,3,2,8.4924251,76.9451563,Kerala
BSNL,Indoor,3G,4,2,18.4818073,73.7951866,Maharashtra
RJio,Outdoor,4G,3,2,28.72094667,77.26396333,Uttar Pradesh
RJio,Indoor,4G,4,2,12.9972427,77.68810539,Karnataka
RJio,Indoor,4G,1,1,21.162091,72.8816396,Gujarat
Airtel,Indoor,3G,1,1,28.6693971,77.2849417,NCT
RJio,Outdoor,4G,5,2,12.31851511,76.64788874,Karnataka
RJio,Indoor,4G,4,2,22.86501035,88.36702195,West Bengal
RJio,Indoor,4G,3,2,8.4924251,76.9451563,Kerala
Idea,Indoor,3G,1,0,18.49798963,73.95153566,Maharashtra
RJio,Travelling,4G,3,2,25.4366111,82.8529221,Uttar Pradesh
RJio,Indoor,4G,2,1,22.64917421,75.80681279,Madhya Pradesh
RJio,Travelling,4G,5,2,25.4375156,81.8437239,Uttar Pradesh
Airtel,Indoor,2G,5,2,12.97535793,77.71167033,Karnataka
RJio,Indoor,4G,4,2,22.0965147,87.7492948,West Bengal
RJio,Indoor,4G,4,2,22.09658681,87.75235286,West Bengal
RJio,Indoor,4G,5,2,25.45787942,81.86066726,Uttar Pradesh
RJio,Indoor,4G,3,2,19.2073958,73.1858151,Maharashtra
RJio,Indoor,4G,5,2,21.26123757,83.41712499,Odisha
RJio,Indoor,4G,4,2,22.57393248,88.34969217,West Bengal
RJio,Travelling,4G,3,2,24.7050138,84.9841652,Bihar
Airtel,Outdoor,4G,5,2,19.2240133,72.8557942,Maharashtra
RJio,Indoor,4G,5,2,23.1031921,72.5731641,Gujarat
RJio,Indoor,4G,1,1,10.4665026,77.8073369,Tamil Nadu
Idea,Indoor,4G,5,2,21.11288918,79.06913422,Maharashtra
Vodafone,Indoor,4G,2,1,18.982456,72.8277303,Maharashtra
BSNL,Outdoor,2G,5,2,12.3676346,92.9190268,Andaman and Nicobar Islands
RJio,Outdoor,4G,4,2,11.02786,77.02452667,Tamil Nadu
Airtel,Indoor,3G,1,1,10.81581407,79.84065674,Tamil Nadu
Airtel,Indoor,4G,5,2,22.6546755,88.8628151,West Bengal
RJio,Indoor,4G,1,0,28.5748593,77.2563346,NCT
Airtel,Outdoor,4G,5,2,28.573599,77.16705,NCT
Airtel,Indoor,3G,4,2,19.050289,72.9043773,Maharashtra
Airtel,Indoor,4G,5,2,26.11726256,87.93268447,West Bengal
Airtel,Outdoor,4G,1,1,28.6693761,77.2848737,NCT
Airtel,Travelling,4G,2,1,16.4985926,80.6528754,Andhra Pradesh
RJio,Indoor,4G,3,2,19.0427722,72.8621727,Maharashtra
Idea,Travelling,3G,2,1,19.9898986,73.7592034,Maharashtra
Airtel,Indoor,3G,1,0,17.439815,78.4463654,Telangana
Idea,Outdoor,3G,5,2,23.2044517,72.6408943,Gujarat
RJio,Indoor,4G,5,2,26.90875006,80.95663232,Uttar Pradesh
RJio,Indoor,4G,5,2,19.0083696,72.83443285,Maharashtra
RJio,Indoor,4G,5,2,13.1232357,80.1914518,Tamil Nadu
BSNL,Outdoor,3G,1,1,21.92000008,82.77999878,Chhattisgarh
RJio,Indoor,4G,3,2,19.042759,72.8621752,Maharashtra
BSNL,Travelling,3G,4,2,11.333856,77.70354,Tamil Nadu
BSNL,Outdoor,4G,5,2,23.1037489,72.5717347,Gujarat
Airtel,Indoor,3G,3,2,21.17570682,72.6889423,Gujarat
RJio,Indoor,4G,2,0,25.60270736,85.14335734,Bihar
Vodafone,Indoor,4G,4,2,28.5629375,77.1194207,NCT
Airtel,Outdoor,4G,2,1,26.52020484,84.27691382,Bihar
Airtel,Outdoor,4G,1,1,19.1761,72.954124,Maharashtra
BSNL,Outdoor,3G,2,1,22.5796466,88.3004107,West Bengal
RJio,Indoor,4G,4,2,18.51765425,73.922374,Maharashtra
Idea,Indoor,4G,2,1,28.821668,78.73053,Uttar Pradesh
Airtel,Indoor,4G,2,1,28.7361053,77.1356623,NCT
Idea,Indoor,4G,5,2,21.11279221,79.06903904,Maharashtra
RJio,Indoor,4G,5,2,19.006035,72.8195001,Maharashtra
RJio,Indoor,4G,5,2,25.43741986,81.83587644,Uttar Pradesh
RJio,Indoor,4G,1,1,18.53159112,73.87659262,Maharashtra
RJio,Outdoor,4G,5,2,19.141733,72.83241,Maharashtra
Vodafone,Indoor,2G,5,2,18.53250522,73.79304472,Maharashtra
Vodafone,Indoor,4G,3,2,19.08844739,72.91807298,Maharashtra
RJio,Outdoor,4G,5,2,26.87201088,80.9997588,Uttar Pradesh
Airtel,Indoor,3G,5,2,17.43741489,78.54577527,Telangana
RJio,Travelling,4G,3,2,19.8854608,75.3286918,Maharashtra
Vodafone,Indoor,4G,5,2,19.08844739,72.91807298,Maharashtra
Airtel,Indoor,4G,3,2,21.17601704,72.68824205,Gujarat
Airtel,Travelling,4G,1,1,28.541876,77.3336564,Uttar Pradesh
Idea,Indoor,4G,2,1,12.04692751,75.52419573,Kerala
RJio,Outdoor,4G,1,1,28.544214,77.1208832,Haryana
Idea,Indoor,4G,1,0,18.73018137,73.67630788,Maharashtra
Airtel,Indoor,4G,4,2,19.0503205,72.9043893,Maharashtra
BSNL,Indoor,2G,1,1,12.83502073,77.61433806,Karnataka
Airtel,Indoor,3G,1,1,10.81570468,79.84061091,Tamil Nadu
BSNL,Indoor,2G,1,1,9.248838807,76.61783209,Kerala
Idea,Outdoor,4G,2,1,12.935647,77.69143,Karnataka
Vodafone,Outdoor,3G,1,1,19.10954777,73.00707324,Maharashtra
Vodafone,Indoor,4G,1,0,18.62841007,73.79336483,Maharashtra
RJio,Outdoor,4G,4,2,19.950714,73.75808,Maharashtra
Idea,Indoor,4G,4,2,9.9924571,76.290659,Kerala
