Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Travelling,4G,2,Poor Voice Quality,28.59358754,77.16427589,NCT
RJio,Travelling,4G,5,Satisfactory,28.59363371,77.1642034,NCT
RJio,Indoor,4G,5,Satisfactory,25.62588923,85.09438546,Bihar
RJio,Indoor,4G,5,Satisfactory,25.62588923,85.09438546,Bihar
RJio,Outdoor,4G,2,Poor Voice Quality,21.3749155,81.66704286,Chhattisgarh
RJio,Outdoor,4G,1,Call Dropped,28.607595,77.02321833,NCT
RJio,Outdoor,4G,4,Satisfactory,12.362915699999999,76.64417890000001,Karnataka
RJio,Outdoor,4G,5,Satisfactory,28.120869300000003,77.3307241,Haryana
RJio,Outdoor,4G,1,Poor Voice Quality,17.25422878,82.53787922,Andhra Pradesh
RJio,Travelling,4G,1,Poor Voice Quality,17.45379457,78.56600319,Telangana
RJio,Indoor,4G,1,Call Dropped,28.607595,77.02321833,NCT
BSNL,Indoor,3G,3,Satisfactory,28.9658826,77.73629079999999,Uttar Pradesh
Airtel,Outdoor,4G,4,Satisfactory,11.2422009,77.23315079999999,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,11.2422009,77.23315079999999,Tamil Nadu
Airtel,Indoor,3G,1,Call Dropped,13.0105351,77.703192,Karnataka
RJio,Travelling,4G,2,Poor Voice Quality,28.66349901,77.26747369,NCT
Vodafone,Indoor,4G,5,Satisfactory,28.6223463,77.36716650000001,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,28.6190351,77.4252032,Uttar Pradesh
RJio,Outdoor,4G,1,Poor Voice Quality,20.82244168,85.28371866,Odisha
Airtel,Indoor,2G,2,Poor Voice Quality,19.4082904,72.8387402,Maharashtra
BSNL,Outdoor,4G,4,Satisfactory,10.48786216,76.96689751,Tamil Nadu
Airtel,Indoor,2G,2,Poor Voice Quality,19.4082904,72.8387402,Maharashtra
Airtel,Travelling,3G,1,Call Dropped,19.11228542,72.91005411,Maharashtra
Airtel,Outdoor,3G,2,Poor Voice Quality,19.28426494,72.94790689,Maharashtra
Airtel,Outdoor,4G,3,Poor Voice Quality,19.28426494,72.94790689,Maharashtra
Airtel,Outdoor,3G,4,Satisfactory,19.28426494,72.94790689,Maharashtra
Vodafone,Indoor,4G,4,Satisfactory,30.32295333,78.00180333,Uttarakhand
RJio,Indoor,4G,3,Satisfactory,10.879255,79.10390667,Tamil Nadu
Airtel,Indoor,4G,4,Satisfactory,22.27988176,73.14951421,Gujarat
Airtel,Outdoor,4G,5,Satisfactory,19.38287451,72.83207183,Maharashtra
Vodafone,Indoor,4G,4,Satisfactory,12.9690637,77.53453370000001,Karnataka
Airtel,Indoor,3G,5,Satisfactory,11.0480846,76.99292740000001,Tamil Nadu
Airtel,Indoor,4G,4,Satisfactory,22.27988514,73.14964507,Gujarat
Airtel,Indoor,4G,3,Poor Voice Quality,26.1246663,85.3859844,Bihar
RJio,Indoor,4G,1,Call Dropped,19.042299300000003,72.87167099999999,Maharashtra
RJio,Indoor,4G,4,Satisfactory,18.626004100000003,73.7810638,Maharashtra
Vodafone,Indoor,4G,3,Satisfactory,28.5302912,77.41443340000001,Uttar Pradesh
Airtel,Outdoor,3G,2,Poor Voice Quality,17.3682324,78.5182238,Telangana
RJio,Indoor,4G,5,Satisfactory,30.82706833,76.93161667,Himachal Pradesh
RJio,Indoor,4G,4,Satisfactory,28.94241866,77.71872771,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,28.9424539,77.71882897,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,28.94249054,77.71872659,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,28.6190499,77.42528229999999,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,28.6190499,77.42528229999999,Uttar Pradesh
Airtel,Outdoor,4G,4,Satisfactory,28.63875975,77.34042442,Uttar Pradesh
Airtel,Outdoor,4G,4,Satisfactory,28.63841859,77.34007437,Uttar Pradesh
Telenor,Indoor,3G,2,Poor Voice Quality,19.69888833,72.77088833,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,28.58042077,76.99452418,NCT
RJio,Outdoor,4G,1,Poor Voice Quality,28.58042077,76.99452418,NCT
RJio,Indoor,4G,1,Poor Voice Quality,28.58042077,76.99452418,NCT
RJio,Indoor,4G,2,Poor Voice Quality,28.59083548,76.99696921,NCT
RJio,Indoor,4G,2,Poor Voice Quality,28.521446,77.08205245,Haryana
RJio,Indoor,4G,1,Poor Voice Quality,28.521446,77.08205245,Haryana
RJio,Indoor,4G,2,Poor Voice Quality,28.50131337,77.39808251,Uttar Pradesh
Airtel,Outdoor,4G,4,Satisfactory,28.64279876,77.34019922,Uttar Pradesh
BSNL,Indoor,4G,5,Satisfactory,11.365680000000001,77.7486563,Tamil Nadu
BSNL,Indoor,2G,1,Poor Voice Quality,19.18567893,72.79687123,Maharashtra
BSNL,Outdoor,2G,4,Satisfactory,19.13071234,73.01669412,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,28.521446,77.08205245,Haryana
RJio,Outdoor,4G,4,Satisfactory,20.66947205,75.34942186,Maharashtra
RJio,Travelling,4G,4,Satisfactory,20.73442962,75.38782181,Maharashtra
Airtel,Travelling,4G,4,Satisfactory,28.64677629,77.33296358,Uttar Pradesh
Airtel,Indoor,3G,4,Satisfactory,28.635557799999997,77.02927940000001,NCT
Airtel,Outdoor,4G,4,Satisfactory,28.637244199999998,77.0281998,NCT
Airtel,Travelling,3G,4,Satisfactory,28.635846299999997,77.0285597,NCT
Airtel,Indoor,3G,3,Poor Voice Quality,28.635846299999997,77.0285597,NCT
Airtel,Indoor,3G,4,Satisfactory,28.6374977,77.0271202,NCT
Airtel,Indoor,3G,4,Satisfactory,23.34765984,85.29375301,Jharkhand
BSNL,Outdoor,3G,2,Poor Voice Quality,17.622035399999998,83.19119140000001,Andhra Pradesh
Vodafone,Indoor,4G,5,Satisfactory,19.19684739,73.00001402,Maharashtra
RJio,Indoor,4G,2,Poor Voice Quality,28.521446,77.08205245,Haryana
Airtel,Travelling,4G,2,Call Dropped,16.828525,75.83944667,Karnataka
RJio,Indoor,4G,2,Poor Voice Quality,22.54453262,88.35232323,West Bengal
RJio,Indoor,4G,2,Poor Voice Quality,22.54453262,88.35232323,West Bengal
RJio,Indoor,4G,2,Poor Voice Quality,22.54453262,88.35232323,West Bengal
RJio,Indoor,4G,2,Poor Voice Quality,22.54453262,88.35232323,West Bengal
RJio,Indoor,4G,3,Poor Voice Quality,22.54453262,88.35232323,West Bengal
Airtel,Outdoor,4G,1,Poor Voice Quality,23.5768397,87.27784220000001,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,17.4727645,78.38572409999999,Telangana
Airtel,Indoor,3G,1,Poor Voice Quality,16.971392,82.2410574,Andhra Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,28.521446,77.08205245,Haryana
RJio,Indoor,4G,5,Satisfactory,30.734306899999996,76.7449443,Chandigarh
Airtel,Outdoor,4G,4,Satisfactory,12.86890864,77.65389405,Karnataka
RJio,Indoor,4G,1,Poor Voice Quality,17.4724368,78.3840449,Telangana
Idea,Indoor,3G,4,Satisfactory,17.354106100000003,78.41869870000001,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,17.4724368,78.3840449,Telangana
Vodafone,Indoor,4G,4,Satisfactory,22.32927184,73.21232281,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.671464999999998,88.33667167,West Bengal
RJio,Indoor,4G,4,Satisfactory,22.67302833,88.35051333,West Bengal
Vodafone,Indoor,4G,1,Poor Voice Quality,19.214953100000002,72.8759051,Maharashtra
RJio,Indoor,4G,5,Satisfactory,11.36571825,77.74855153,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,12.93774579,77.62529501,Karnataka
BSNL,Outdoor,4G,4,Satisfactory,10.49047299,76.96581451,Tamil Nadu
Airtel,Outdoor,3G,4,Satisfactory,12.93774579,77.62529501,Karnataka
RJio,Indoor,4G,5,Satisfactory,30.73439669,76.74507633,Chandigarh
Airtel,Outdoor,4G,4,Satisfactory,11.2422009,77.23315079999999,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2422009,77.23315079999999,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,11.2516036,77.2338693,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,11.2516036,77.2338693,Tamil Nadu
Airtel,Indoor,3G,5,Satisfactory,28.64645203,77.34760429,Uttar Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,22.70596216,75.90605932,Madhya Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,19.04699231,72.86349618,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,12.93774579,77.62529501,Karnataka
Airtel,Indoor,3G,2,Call Dropped,17.5246657,78.5107781,Telangana
RJio,Indoor,4G,4,Satisfactory,26.888639500000004,75.7246105,Rajasthan
Airtel,Indoor,3G,3,Poor Voice Quality,22.5680058,88.34991590000001,West Bengal
RJio,Indoor,4G,5,Satisfactory,13.07137519,80.18755594,Tamil Nadu
Idea,Indoor,3G,5,Satisfactory,21.0909163,79.0547564,Maharashtra
RJio,Indoor,4G,5,Satisfactory,11.36571825,77.74855153,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,20.3095938,85.8190777,Odisha
BSNL,Travelling,2G,4,Satisfactory,20.43786803,85.88810999,Odisha
RJio,Indoor,4G,1,Poor Voice Quality,17.473322699999997,78.3856119,Telangana
Airtel,Indoor,3G,1,Poor Voice Quality,28.496036,77.3046022,Haryana
RJio,Indoor,4G,4,Satisfactory,25.15119146,73.12486748,Rajasthan
RJio,Indoor,4G,4,Satisfactory,25.1512433,73.1251698,Rajasthan
RJio,Indoor,4G,4,Satisfactory,25.1512433,73.1251698,Rajasthan
RJio,Indoor,4G,4,Satisfactory,19.0441431,72.864254,Maharashtra
Idea,Outdoor,4G,5,Satisfactory,17.384892100000002,78.47669899,Telangana
Vodafone,Travelling,4G,4,Satisfactory,19.28505011,73.06152206,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.0441359,72.8642661,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.04699231,72.86349618,Maharashtra
RJio,Travelling,4G,5,Satisfactory,17.4254343,78.5365349,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,17.473322699999997,78.3856119,Telangana
RJio,Travelling,4G,5,Satisfactory,17.43896845,78.39669025,Telangana
Vodafone,Indoor,3G,5,Satisfactory,28.50414076,77.17663835,NCT
Airtel,Outdoor,3G,4,Satisfactory,28.636881199999998,77.02876690000001,NCT
RJio,Outdoor,4G,4,Satisfactory,28.56697457,77.34604665,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,28.56697457,77.34604665,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,19.20699802,73.00250715,Maharashtra
Vodafone,Outdoor,3G,1,Poor Voice Quality,19.21499441,72.87541611,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,22.493551800000002,88.38395799999999,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,17.473322699999997,78.3856119,Telangana
Airtel,Indoor,3G,4,Satisfactory,28.638289899999997,77.0264184,NCT
Airtel,Indoor,2G,2,Call Dropped,17.47485951,78.36474355,Telangana
BSNL,Travelling,3G,5,Satisfactory,22.46502949,88.38091588,West Bengal
RJio,Outdoor,4G,4,Satisfactory,18.73392071,73.71607509,Maharashtra
BSNL,Indoor,3G,4,Satisfactory,13.025225099999998,77.56803959999999,Karnataka
Airtel,Travelling,3G,4,Satisfactory,12.93774579,77.62529501,Karnataka
Idea,Outdoor,4G,5,Satisfactory,17.384892100000002,78.47669899,Telangana
BSNL,Travelling,3G,5,Satisfactory,22.64313251,88.43863664,West Bengal
RJio,Indoor,4G,4,Satisfactory,15.60120853,77.26307186,Andhra Pradesh
BSNL,Indoor,3G,3,Satisfactory,28.965850899999996,77.7362897,Uttar Pradesh
Airtel,Indoor,2G,1,Poor Voice Quality,17.546473300000002,78.36338341,Telangana
Airtel,Outdoor,3G,1,Poor Voice Quality,17.622035399999998,83.19119140000001,Andhra Pradesh
RJio,Indoor,4G,2,Call Dropped,17.44861539,78.36345116,Telangana
RJio,Indoor,4G,5,Satisfactory,32.11144586,76.53135662,Himachal Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,17.473322699999997,78.3856119,Telangana
Vodafone,Indoor,3G,4,Satisfactory,22.44230026,88.30136546,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,17.473322699999997,78.3856119,Telangana
RJio,Indoor,4G,3,Satisfactory,8.486986253,76.95483531,Kerala
RJio,Indoor,4G,3,Satisfactory,8.486986253,76.95483531,Kerala
RJio,Indoor,4G,3,Satisfactory,8.478177879,76.97159903,Kerala
RJio,Indoor,4G,2,Poor Voice Quality,8.478188398,76.9713713,Kerala
Vodafone,Indoor,4G,1,Poor Voice Quality,28.60678,77.02384333,NCT
Airtel,Indoor,4G,4,Satisfactory,28.50858983,77.08345920000001,Haryana
Airtel,Indoor,3G,3,Poor Voice Quality,22.27988514,73.14964507,Gujarat
RJio,Indoor,4G,1,Poor Voice Quality,22.7041358,75.92872309999998,Madhya Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,22.6983219,75.92348151,Madhya Pradesh
Airtel,Indoor,3G,4,Satisfactory,22.27988514,73.14964507,Gujarat
Airtel,Indoor,3G,3,Poor Voice Quality,22.27988514,73.14964507,Gujarat
Airtel,Indoor,3G,3,Poor Voice Quality,22.27988514,73.14964507,Gujarat
Airtel,Indoor,3G,3,Poor Voice Quality,22.27988514,73.14964507,Gujarat
Airtel,Outdoor,4G,1,Poor Voice Quality,23.5660603,87.27784220000001,West Bengal
BSNL,Indoor,2G,1,Poor Voice Quality,19.19779979,72.79778139,Maharashtra
Airtel,Indoor,3G,5,Satisfactory,30.64604333,76.68720333,Punjab
RJio,Indoor,4G,4,Satisfactory,22.38224186,82.62168641,Chhattisgarh
Vodafone,Travelling,3G,4,Satisfactory,19.14446195,73.04395812,Maharashtra
Vodafone,Travelling,3G,2,Poor Voice Quality,19.14446195,73.04395812,Maharashtra
Vodafone,Indoor,3G,3,Poor Voice Quality,19.11130761,73.01537934,Maharashtra
Vodafone,Travelling,3G,2,Poor Voice Quality,19.12750902,72.88865351,Maharashtra
Vodafone,Travelling,3G,2,Poor Voice Quality,19.12750902,72.88865351,Maharashtra
RJio,Indoor,4G,5,Satisfactory,17.424448499999997,78.3473583,Telangana
Airtel,Outdoor,4G,4,Satisfactory,11.2516036,77.2338693,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,11.2516036,77.2338693,Tamil Nadu
Vodafone,Indoor,3G,1,Poor Voice Quality,19.068837,72.89024350000001,Maharashtra
Airtel,Outdoor,3G,4,Satisfactory,12.93774579,77.62529501,Karnataka
RJio,Travelling,4G,4,Satisfactory,20.94931535,75.51275099,Maharashtra
RJio,Indoor,4G,3,Poor Voice Quality,20.98047889,75.58144437,Maharashtra
Airtel,Indoor,3G,3,Call Dropped,14.43242995,79.99712359,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,28.5326416,77.21724559999998,NCT
Airtel,Travelling,4G,5,Satisfactory,22.82035928,87.37044235,West Bengal
Airtel,Indoor,3G,4,Satisfactory,17.30176445,78.54471472,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,17.473322699999997,78.3856119,Telangana
RJio,Outdoor,4G,4,Satisfactory,23.00107128,72.58868259999998,Gujarat
Airtel,Travelling,3G,1,Call Dropped,27.607210600000002,77.875156,Uttar Pradesh
Airtel,Outdoor,4G,2,Poor Voice Quality,17.30983034,78.53435685,Telangana
Airtel,Indoor,3G,1,Call Dropped,17.3024147,78.5328981,Telangana
RJio,Outdoor,4G,4,Satisfactory,27.209043599999998,78.022526,Uttar Pradesh
RJio,Outdoor,4G,1,Poor Voice Quality,23.58434117,87.28150175,West Bengal
Airtel,Indoor,4G,1,Poor Voice Quality,17.00470304,81.76812929,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,29.69520376,77.00340454,Haryana
RJio,Indoor,4G,5,Satisfactory,29.68138372,77.01071629,Haryana
RJio,Indoor,4G,5,Satisfactory,29.68160324,77.01075681,Haryana
RJio,Indoor,4G,4,Satisfactory,27.04320333,76.57163167,Rajasthan
RJio,Indoor,4G,4,Satisfactory,25.218700899999998,84.9883597,Bihar
RJio,Indoor,4G,4,Satisfactory,19.15245151,72.99293923,Maharashtra
RJio,Indoor,4G,3,Satisfactory,26.73524948,88.40706322,West Bengal
BSNL,Travelling,2G,3,Poor Voice Quality,22.64263676,88.43965047,West Bengal
RJio,Outdoor,4G,5,Satisfactory,22.795092999999998,86.2319418,Jharkhand
RJio,Indoor,4G,5,Satisfactory,20.296313199999997,85.84255920000001,Odisha
RJio,Travelling,4G,3,Poor Voice Quality,13.09333732,77.55092199,Karnataka
RJio,Indoor,4G,5,Satisfactory,28.532637800000003,77.2172523,NCT
RJio,Indoor,4G,5,Satisfactory,29.6813953,77.0107199,Haryana
BSNL,Travelling,3G,4,Satisfactory,20.30028293,85.86297028,Odisha
Idea,Outdoor,4G,5,Satisfactory,17.384892100000002,78.47669899,Telangana
RJio,Indoor,4G,5,Satisfactory,29.6813953,77.0107199,Haryana
Vodafone,Indoor,4G,5,Satisfactory,19.20697842,73.00221091,Maharashtra
RJio,Indoor,4G,5,Satisfactory,29.6813953,77.0107199,Haryana
RJio,Indoor,4G,4,Satisfactory,13.09333732,77.55092199,Karnataka
Vodafone,Indoor,4G,3,Satisfactory,15.57912369,73.79374187,Goa
Vodafone,Outdoor,4G,3,Satisfactory,15.67077688,73.83875339,Goa
Vodafone,Outdoor,4G,4,Satisfactory,21.92000008,82.77999878,Chhattisgarh
Vodafone,Outdoor,3G,4,Satisfactory,15.561697,73.749094,Goa
Vodafone,Outdoor,3G,3,Satisfactory,15.57921814,73.79377737,Goa
Vodafone,Outdoor,4G,3,Satisfactory,15.57905211,73.79758998,Goa
Vodafone,Indoor,4G,5,Satisfactory,28.5357479,77.3442828,Uttar Pradesh
Idea,Outdoor,4G,5,Satisfactory,17.384892100000002,78.47669899,Telangana
RJio,Indoor,4G,5,Satisfactory,17.424418600000003,78.3475613,Telangana
Vodafone,Indoor,4G,3,Poor Voice Quality,28.5357479,77.3442828,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,17.3818862,78.47843890000001,Telangana
Idea,Indoor,4G,4,Satisfactory,19.15245151,72.99293923,Maharashtra
BSNL,Indoor,2G,1,Poor Voice Quality,19.19746094,72.79766011,Maharashtra
Vodafone,Indoor,2G,4,Satisfactory,28.69393004,77.13601663,NCT
Idea,Indoor,4G,2,Poor Voice Quality,15.5829135,73.7924617,Goa
RJio,Indoor,4G,5,Satisfactory,17.3818862,78.47843890000001,Telangana
RJio,Indoor,4G,5,Satisfactory,28.532637800000003,77.2172523,NCT
RJio,Indoor,4G,5,Satisfactory,13.0419495,77.6121252,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.0419495,77.6121252,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.0419496,77.6121189,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.041952199999999,77.6118965,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.042033300000002,77.61211390000001,Karnataka
RJio,Indoor,4G,5,Satisfactory,17.3818862,78.47843890000001,Telangana
Vodafone,Indoor,4G,5,Satisfactory,19.3197813,84.7973073,Odisha
RJio,Indoor,4G,4,Satisfactory,13.09333732,77.55092199,Karnataka
Airtel,Indoor,4G,4,Satisfactory,28.638939899999997,77.0235214,NCT
RJio,Indoor,4G,5,Satisfactory,17.3818862,78.47843890000001,Telangana
RJio,Outdoor,4G,1,Poor Voice Quality,20.841875199999997,85.22162105,Odisha
Vodafone,Indoor,4G,5,Satisfactory,19.20697842,73.00221091,Maharashtra
RJio,Indoor,4G,5,Satisfactory,17.3818862,78.47843890000001,Telangana
Airtel,Travelling,3G,3,Poor Voice Quality,21.37203288,72.95847633,Gujarat
Vodafone,Travelling,4G,5,Satisfactory,28.50414076,77.17663835,NCT
BSNL,Indoor,4G,5,Satisfactory,11.3658219,77.7486536,Tamil Nadu
Airtel,Indoor,3G,1,Call Dropped,12.89832437,77.61732578,Karnataka
RJio,Indoor,4G,5,Satisfactory,22.5181453,88.3619502,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.520360699999998,88.3451474,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.5873838,88.4217262,West Bengal
Vodafone,Indoor,3G,4,Satisfactory,14.4545193,75.9043144,Karnataka
