Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Idea,Indoor,2G,4,2,13.32720562,77.99275073,Karnataka
Idea,Outdoor,4G,4,2,13.32720562,77.99275073,Karnataka
Airtel,Indoor,3G,4,2,19.69502333,72.765335,Maharashtra
Airtel,Outdoor,3G,5,2,18.61568333,73.79100167,Maharashtra
BSNL,Indoor,3G,5,2,18.4400988,73.79974200000001,Maharashtra
RJio,Travelling,4G,4,2,28.5633983,77.11970415,NCT
Airtel,Outdoor,4G,5,2,19.125350199999996,73.0140816,Maharashtra
RJio,Outdoor,4G,1,1,16.524267000000002,80.62116999999999,Andhra Pradesh
RJio,Travelling,4G,4,2,24.43584681,73.64571869,Rajasthan
RJio,Indoor,4G,5,2,28.5633983,77.11970415,NCT
RJio,Indoor,4G,1,1,13.02888457,77.68253546,Karnataka
RJio,Indoor,4G,1,1,13.02896016,77.68256059999999,Karnataka
Airtel,Indoor,4G,3,2,27.79434397,76.63572544,Rajasthan
Idea,Outdoor,2G,4,2,13.40510183,78.06319701,Karnataka
Airtel,Outdoor,4G,3,2,26.905248999999998,82.23859,Uttar Pradesh
Airtel,Indoor,3G,5,2,10.95375613,78.06595658,Tamil Nadu
RJio,Outdoor,4G,4,2,23.601110000000002,80.28938000000001,Madhya Pradesh
RJio,Outdoor,4G,4,2,19.011402,72.8262531,Maharashtra
Airtel,Indoor,4G,3,2,28.49761296,77.06399127,Haryana
Airtel,Indoor,4G,3,2,28.49761296,77.06399127,Haryana
Airtel,Travelling,4G,3,2,28.49761296,77.06399127,Haryana
Vodafone,Outdoor,4G,3,2,28.49761296,77.06399127,Haryana
Airtel,Indoor,4G,3,2,28.4975001,77.07231259999999,Haryana
BSNL,Indoor,3G,2,1,18.90961587,73.32040697,Maharashtra
Airtel,Travelling,4G,4,2,26.870605100000002,81.0233026,Uttar Pradesh
Airtel,Indoor,4G,4,2,12.9290485,77.60754890000001,Karnataka
Airtel,Indoor,4G,3,2,12.929040800000001,77.6075562,Karnataka
RJio,Indoor,4G,4,2,25.960827399999996,79.18549842,Uttar Pradesh
RJio,Outdoor,4G,3,2,15.51439298,80.03933039,Andhra Pradesh
RJio,Outdoor,4G,3,2,15.51439298,80.03933039,Andhra Pradesh
RJio,Outdoor,4G,3,2,15.51439298,80.03933039,Andhra Pradesh
RJio,Outdoor,4G,5,2,19.07059348,72.99585939,Maharashtra
Airtel,Outdoor,4G,5,2,12.9178946,80.1285194,Tamil Nadu
Idea,Outdoor,4G,5,2,19.112335199999997,72.8790552,Maharashtra
Idea,Outdoor,3G,5,2,19.1119407,72.878686,Maharashtra
Idea,Outdoor,2G,5,2,19.1082073,72.87720920000001,Maharashtra
Idea,Outdoor,4G,5,2,19.1082073,72.87720920000001,Maharashtra
Idea,Outdoor,2G,5,2,19.1082073,72.87720920000001,Maharashtra
RJio,Indoor,4G,5,2,25.82978125,85.61436059,Bihar
RJio,Indoor,4G,1,1,25.76200333,85.19314833,Bihar
RJio,Outdoor,4G,5,2,25.82978125,85.61436059,Bihar
RJio,Travelling,4G,4,2,22.75992446,73.65012151,Gujarat
RJio,Indoor,4G,4,2,26.19544261,78.15141179,Madhya Pradesh
Idea,Indoor,4G,5,2,13.02810113,80.2266133,Tamil Nadu
Vodafone,Travelling,2G,3,2,27.231002899999996,77.24649774,Rajasthan
Vodafone,Travelling,2G,3,2,27.231002899999996,77.24649774,Rajasthan
RJio,Travelling,4G,5,2,18.97713333,73.02255667,Maharashtra
Vodafone,Travelling,3G,3,1,21.0469016,75.78655983,Maharashtra
Airtel,Indoor,3G,3,2,12.92234218,77.61035238,Karnataka
RJio,Travelling,4G,2,1,28.72111109,77.17654158,NCT
