Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Vodafone,Outdoor,3G,4,Satisfactory,19.171898000000002,72.956154,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,24.108309600000002,88.2613205,West Bengal
RJio,Indoor,4G,3,Satisfactory,13.11734909,77.63549354,Karnataka
BSNL,Outdoor,2G,1,Poor Voice Quality,13.239277300000001,92.9715017,Andaman and Nicobar Islands
Idea,Indoor,4G,5,Satisfactory,32.29174473,75.75858627,Punjab
RJio,Indoor,4G,2,Poor Voice Quality,21.11657951,79.06679287,Maharashtra
Airtel,Outdoor,4G,5,Satisfactory,28.737334999999998,77.77534,Uttar Pradesh
Vodafone,Outdoor,3G,4,Satisfactory,19.4397026,73.308415,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,25.565416,83.986725,Bihar
Idea,Outdoor,3G,3,Poor Voice Quality,17.31124344,78.55778662,Telangana
RJio,Outdoor,4G,1,Poor Voice Quality,22.54773133,88.34829964,West Bengal
RJio,Indoor,4G,5,Satisfactory,27.84852861,75.2527864,Rajasthan
Airtel,Indoor,3G,5,Satisfactory,22.81990772,88.37614459,West Bengal
RJio,Indoor,4G,4,Satisfactory,18.99814415,73.03517338,Maharashtra
RJio,Indoor,4G,3,Call Dropped,18.5523549,73.8917275,Maharashtra
BSNL,Indoor,2G,3,Satisfactory,12.97632306,77.52843252,Karnataka
RJio,Indoor,4G,2,Poor Voice Quality,22.684089899999996,72.8591173,Gujarat
Airtel,Outdoor,3G,5,Satisfactory,11.522469099999999,79.3246518,Tamil Nadu
Vodafone,Travelling,4G,4,Satisfactory,23.02842968,72.555914,Gujarat
Vodafone,Indoor,4G,1,Poor Voice Quality,30.158412199999997,77.29056193,Haryana
Vodafone,Outdoor,4G,5,Satisfactory,13.133515,80.12838,Tamil Nadu
RJio,Travelling,4G,2,Poor Voice Quality,22.5867131,88.34030920000001,West Bengal
RJio,Travelling,4G,5,Satisfactory,11.95452287,79.50098582,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,18.97134314,72.83823462,Maharashtra
Airtel,Indoor,4G,3,Satisfactory,28.497506199999997,77.0722992,Haryana
RJio,Indoor,4G,3,Satisfactory,22.573995800000002,88.32768979999999,West Bengal
Airtel,Indoor,4G,5,Satisfactory,22.54266657,88.36268792,West Bengal
