Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Indoor,4G,3,Satisfactory,12.99850186,77.67243651,Karnataka
Vodafone,Indoor,4G,1,Call Dropped,23.55419,72.62011020000001,Gujarat
Airtel,Indoor,3G,1,Call Dropped,11.327329038,76.749743157,Tamil Nadu
Airtel,Indoor,4G,3,Satisfactory,22.27966031,73.14936897,Gujarat
Airtel,Travelling,4G,3,Satisfactory,18.546344199999997,73.81909018,Maharashtra
Airtel,Travelling,4G,3,Satisfactory,18.546627100000002,73.8195324,Maharashtra
Airtel,Travelling,4G,5,Satisfactory,18.547528464000003,73.819105282,Maharashtra
Airtel,Travelling,4G,4,Satisfactory,18.547528464000003,73.819105282,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,10.58310397,77.26359549,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,29.672815000000003,77.00766259999999,Haryana
RJio,Indoor,4G,5,Satisfactory,28.5963135,77.0854149,NCT
RJio,Indoor,4G,4,Satisfactory,28.596341100000004,77.08549520000001,NCT
RJio,Indoor,4G,4,Satisfactory,28.596341100000004,77.08549520000001,NCT
RJio,Outdoor,4G,5,Satisfactory,31.520162308000003,75.291842906,Punjab
RJio,Outdoor,4G,4,Satisfactory,28.596341100000004,77.08549520000001,NCT
BSNL,Outdoor,3G,4,Satisfactory,13.0105591,77.66805832,Karnataka
Airtel,Travelling,3G,5,Satisfactory,10.57992837,77.26036748,Tamil Nadu
Airtel,Travelling,4G,4,Satisfactory,18.547528464000003,73.819105282,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.07608642,72.86570152,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,31.520162308000003,75.291842906,Punjab
RJio,Outdoor,4G,3,Satisfactory,16.977043217000002,82.238103524,Andhra Pradesh
RJio,Outdoor,4G,4,Satisfactory,23.22481257,72.64979015,Gujarat
Airtel,Indoor,4G,1,Poor Voice Quality,19.08638782,72.90895479,Maharashtra
Airtel,Indoor,3G,1,Call Dropped,19.08638782,72.90895479,Maharashtra
RJio,Outdoor,4G,3,Poor Voice Quality,28.596341100000004,77.08549520000001,NCT
RJio,Indoor,4G,2,Call Dropped,28.596341100000004,77.08549520000001,NCT
RJio,Outdoor,4G,5,Satisfactory,31.520162308000003,75.291842906,Punjab
RJio,Indoor,4G,5,Satisfactory,25.594615,91.94585670000001,Meghalaya
Airtel,Indoor,4G,4,Satisfactory,17.60801444,78.01328853,Telangana
